Set,NumAttempts,NumIndexesPerAttempt,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev

26,100,500,1.048558,0.241063,1.56071,7.018489,2.726614,1.229563
27,100,500,0.84996,0.07072,1.865427,1.328348,2.196478,0.528308
28,100,500,0.503726,0.276615,-1.440057,3.600701,2.488952,1.361394
29,100,500,0.855524,0.076723,-3.318951,5.09566,3.067956,3.471955
30,100,500,1.054161,1.86999,3.650515,15.554965,-11.181122,12.548133








31,100,200,0.872885,0.31599,-1.037026,10.177888,3.175599,6.075114
32,100,200,1.050794,0.320378,0.32604,7.112745,2.162344,4.247511
33,100,200,1.263762,0.918028,-0.863398,11.122308,2.761803,5.7356
34,100,200,0.532565,0.349177,-0.675315,5.552337,2.464171,2.67127
35,100,200,1.043042,0.318034,-2.279571,8.728353,3.327553,5.495907
36,100,200,0.875081,1.307812,1.148115,10.155774,-0.07397,4.128827
37,100,200,1.487249,1.104496,-10.107329,10.762432,4.682029,3.008779
38,100,200,1.670579,0.16149,-5.346072,23.749373,4.827134,3.526681
39,100,200,0.686403,0.457307,2.22954,8.009135,1.759538,2.287974
40,100,200,1.013324,4.786498,-0.415071,29.25401,4.604916,5.845324
41,100,200,0.958311,0.346624,-2.454632,7.120956,1.732062,4.971855
42,100,200,1.472161,4.27778,-2.63419,31.545921,4.89794,9.033414
43,100,200,1.250529,1.698069,-1.025485,14.250338,2.664626,7.172966
44,100,200,0.38917,0.184081,-3.365203,5.395767,2.722589,2.371492
45,100,200,1.721079,0.83597,-2.08359,13.97116,3.606218,2.541823
46,100,200,1.687843,1.607712,-4.865526,13.703285,4.333973,5.586595
47,100,200,1.037138,0.389869,-0.909272,6.978293,2.670648,4.542335
48,100,200,0.782363,0.212627,1.291218,3.497457,2.443436,1.257544
49,100,200,1.416854,0.783425,0.738534,10.508709,1.715502,5.767428
50,100,200,0.452046,0.395485,-0.205273,5.512146,2.746376,2.009615
51,100,200,0.591172,0.464533,-1.535671,6.347303,3.158792,2.618934
52,100,200,1.411509,0.55214,0.038094,9.299137,2.568583,6.591156
53,100,200,1.466092,1.972376,-3.227756,16.301962,4.007692,6.161808
54,100,200,1.178793,0.250582,-1.07746,8.113057,3.090071,6.181824
55,100,200,1.476352,0.185901,6.744961,31.748591,1.110832,8.88517
56,100,200,1.342872,1.177786,-3.233473,11.235691,4.344771,5.999541
57,100,200,0.663082,1.372139,2.074081,12.462526,-1.880051,6.864484
58,100,200,1.258044,6.824943,-4.636328,50.159262,3.469968,7.743753
59,100,200,0.583539,0.709277,0.340781,7.391972,1.929573,3.067048
60,100,200,1.083021,0.462018,-0.30303,10.594377,3.399005,8.044252
61,100,200,1.370813,1.362516,-2.694924,13.793708,3.415434,6.765427
62,100,200,0.8412,0.094069,2.403286,9.123763,1.067382,6.114221
63,100,200,0.707014,0.570218,-2.326493,6.93899,2.646065,2.8472
64,100,200,0.690237,0.382739,2.017291,9.041559,2.230605,2.117291
65,100,200,1.519625,2.83176,-4.703068,22.571825,3.485248,7.033377
66,100,200,1.313772,1.40233,-0.627139,12.363716,2.49474,7.508349
67,100,200,0.759539,0.391713,-0.029563,5.608665,2.365626,3.273049
68,100,200,1.514287,1.678859,-3.743637,14.490028,3.830673,6.310971
69,100,200,1.545116,0.442642,-1.974356,23.822963,4.050572,0.572208
70,100,200,1.206961,0.463072,-1.256719,16.621089,4.686544,0.850596
71,100,200,1.359313,1.920995,-3.267037,19.843122,4.377445,2.896258
72,100,200,0.654535,2.114199,3.291435,14.221121,-1.323383,6.311079
73,100,200,1.138223,1.805385,0.363078,17.607331,-0.004328,13.252991
74,100,200,0.506621,0.858208,-2.15406,10.382222,2.613338,2.590008
75,100,200,0.843092,2.737452,0.745845,16.396449,2.941479,3.520613
76,100,200,0.951757,1.008039,-1.669509,8.763917,2.509455,3.394114
77,100,200,1.094882,0.392046,-2.084147,6.565713,3.171103,4.144189
78,100,200,0.854441,0.0477,-9.426776,14.955367,8.16657,11.759544
79,100,200,0.878773,0.470143,-2.765193,8.033832,3.032335,4.25743
80,100,200,1.192333,0.138251,2.327544,7.645691,1.855378,5.178921
81,100,200,0.899196,0.122491,0.076039,8.24205,2.399095,5.845056
82,100,200,0.927072,1.082769,-1.005292,8.837425,3.050315,3.521709
83,100,200,1.688166,1.940133,-6.579279,17.269128,5.212242,6.755373
84,100,200,1.241679,0.380054,-0.169879,5.724251,2.220044,3.708504
85,100,200,1.612192,0.638046,-1.440265,10.449043,3.819815,5.954886
86,100,200,0.640527,1.544056,3.522023,12.435866,-2.087425,5.624619
87,100,200,0.353973,0.138602,-3.006908,4.319428,2.626115,1.729903
88,100,200,2.071543,0.284293,-2.023383,3.564373,-4.154888,4.08347
89,100,200,1.6212,0.096867,1.77409,2.040358,1.731389,1.082881
90,100,200,1.592839,0.218653,-1.469626,11.047124,1.683983,10.114118
91,100,200,1.254635,0.942661,-5.387776,11.622165,4.777894,4.57425
92,100,200,1.400992,0.888109,-1.390615,11.212534,3.057573,6.85743
93,100,200,1.000416,0.371406,-0.97306,6.56259,2.96899,4.528035
94,100,200,0.749871,0.081345,-10.003576,18.780838,7.026025,11.10933
95,100,200,0.417735,0.618447,0.144542,6.652591,1.663044,2.275851
96,100,200,0.314255,0.061117,-1.364305,3.624286,1.834481,1.840904
97,100,200,1.564355,1.082791,-3.724659,10.137544,5.282625,5.257543
98,100,200,1.145992,2.298542,-9.513393,22.617678,3.29561,3.150585
99,100,200,1.344142,0.662332,-7.306954,7.692586,5.426361,3.473052
100,100,200,2.89034,4.993034,-12.091129,32.317823,5.330977,6.598809
101,100,200,1.165881,0.236025,-2.471599,7.722843,3.67632,6.039846
102,100,200,2.927278,4.02637,-15.840381,26.387857,3.836075,3.686262
103,100,200,1.250995,1.821057,-2.609384,20.265757,4.499633,9.270784
104,100,200,1.631282,0.466769,-1.832643,8.984395,3.093936,6.222874
105,100,200,1.054111,0.78875,-3.427272,6.744885,3.669281,2.289264
106,100,200,3.73614,2.849677,-22.709689,22.074078,7.364381,5.906259
107,100,200,1.297324,1.454964,-2.735252,11.116709,2.400328,4.541894
108,100,200,1.209733,0.134869,-0.679048,12.77154,2.812281,8.181427
110,100,200,1.283306,0.129534,-2.14971,16.39068,3.961137,14.600502
111,100,200,0.452892,0.521738,0.227283,5.7004,1.574437,2.120884
112,100,200,0.562289,0.249298,-2.192832,6.409013,2.763811,2.952803
113,100,200,0.688688,0.30473,-2.301126,5.197121,3.247174,2.665395
114,100,200,0.908742,0.260751,0.442277,7.103668,2.702051,5.810259
115,100,200,1.709045,2.370898,-5.175183,19.956619,4.928579,7.571289
116,100,200,0.228971,0.327156,0.558492,4.738644,1.785397,1.347313
117,100,200,0.519399,0.46084,-4.072969,5.896879,2.47292,1.616666
118,100,200,0.605577,2.363145,-0.357752,16.155416,2.748166,3.027803
119,100,200,1.348739,0.840394,-2.343874,9.601512,3.45897,5.506588
120,100,200,1.155437,1.06517,-0.17838,9.524446,2.921766,4.953152
121,100,200,1.63597,1.827239,-3.396548,13.807364,3.717811,5.138322
122,100,200,0.317706,0.190088,-0.661765,3.607226,2.158273,1.28839
123,100,200,0.567711,0.39019,-1.020005,7.56601,3.126324,4.332913
124,100,200,0.961204,0.077814,0.563241,5.295663,2.070339,4.24473
125,100,200,1.679057,0.576145,-1.831724,13.160285,3.964248,7.527397
126,100,200,0.424861,3.040852,1.097321,20.055293,1.764416,3.385791
127,100,200,0.617474,0.271819,-0.732572,3.971085,2.812857,1.767281
128,100,200,0.348786,1.417138,0.492121,11.454808,1.217883,1.983605
129,100,200,0.728122,0.4281,-0.769663,5.444171,2.742689,3.125775
130,100,200,0.624718,0.902353,-1.120635,8.288423,3.175208,2.189038
131,100,200,0.329108,0.085943,-3.25984,5.979704,2.603574,3.22542
132,100,200,0.362375,0.199919,-1.0966,4.117555,2.494945,1.616134
133,100,200,1.58412,0.896807,-2.905211,9.933655,3.840889,7.002721
134,100,200,1.391987,0.995942,-2.753167,9.315014,3.477577,4.895546
135,100,200,0.835451,0.52833,-7.07942,6.646997,3.854286,2.170108
136,100,200,0.372039,0.224735,-0.509986,5.145345,2.047278,2.125567
137,100,200,0.962637,0.997495,-1.096793,9.130827,3.155818,3.667629
138,100,200,0.588823,0.216392,-2.615204,4.884422,2.504824,2.683414



Pseudodataset 1, True Values
,ReH_true,ReE_true,ReHtilde_true,
0,13.0554,-53.0554,7.25302,
1,12.5549,-52.5549,6.97494,
2,7.22424,-47.2242,4.01347,
3,7.65272,-47.6527,4.25151,
4,12.5549,-52.5549,6.97494,
5,7.22424,-47.2242,4.01347,
6,11.7411,-51.7411,6.52283,
7,7.65272,-47.6527,4.25151,
8,12.5549,-52.5549,6.97494,
9,6.99014,-46.9901,3.88341,
10,7.22424,-47.2242,4.01347,
11,11.7411,-51.7411,6.52283,
12,6.99014,-46.9901,3.88341,
13,7.22424,-47.2242,4.01347,
14,11.7411,-51.7411,6.52283,


Pseudodataset 1, Bootstrapping
0,100,200,13.656416,0.728269,-56.271444,3.743877,6.584646,0.362532
1,100,200,11.236562,1.377185,-45.19817,7.212677,7.400449,0.671287
2,100,200,6.593722,1.414974,-43.41825,8.139979,4.149877,0.523929
3,100,200,9.652686,1.550741,-57.829865,7.838385,4.382419,0.661102
4,100,200,11.423718,0.719603,-46.569524,3.711136,7.120503,0.459248
5,100,200,6.85686,1.063244,-45.005277,6.053863,3.994794,0.296676
6,100,200,10.037681,1.774946,-42.04924,10.143373,6.627319,0.918807
7,100,200,9.362882,1.276276,-56.331199,6.423319,4.751484,0.860781
8,100,200,11.622243,0.397639,-47.673753,2.04048,6.972266,0.458761
9,100,200,8.056788,0.519644,-53.265365,3.228335,2.935765,0.267434
10,100,200,6.882129,0.921005,-45.13736,5.248177,3.880068,0.473458
11,100,200,10.175897,1.206579,-43.058778,6.781528,6.247959,0.60726
12,100,200,7.958573,0.704202,-52.686773,4.354505,2.952694,0.33595
13,100,200,6.816449,0.944029,-44.75553,5.352419,3.878818,0.629685
14,100,200,10.466428,0.904595,-44.691054,5.032486,6.021278,0.527266


Pseudodataset 1, Bootstrapping
1,100,100,11.288427,2.027925,-45.530613,10.590446,7.181526,0.952672
2,100,100,6.806354,1.687774,-44.615501,9.691596,4.056160,0.539935
3,100,100,9.739844,2.420559,-58.240922,12.209734,4.334867,0.845340
4,100,100,11.480814,0.966427,-46.885630,4.939946,7.085131,0.561158
5,100,100,6.723612,1.333941,-44.259297,7.581447,4.040651,0.516481
6,100,100,9.699702,2.771461,-40.221478,15.733087,6.767881,1.312790
7,100,100,9.103281,1.992499,-55.018341,10.062800,4.666075,1.442568
8,100,100,11.493533,0.613195,-47.023375,3.145995,6.879125,0.687317
9,100,100,7.984658,0.766543,-52.838943,4.724702,2.933506,0.344795
10,100,100,6.926207,1.235282,-45.406629,7.004190,3.976179,0.665422
11,100,100,10.428891,1.816208,-44.524201,10.136431,6.170193,0.815613
12,100,100,8.146472,0.913096,-53.854484,5.624641,2.973661,0.451548
13,100,100,7.065556,1.271850,-46.183611,7.236620,4.141176,0.842162
14,100,100,10.413395,1.283096,-44.467343,7.173490,5.985712,0.793346
