#Set,k,QQ,x_b,t,phi_x,F,errF
11,5.75,2.054,0.392,-0.233,52.5,51.4,3.3
11,5.75,2.054,0.392,-0.233,67.5,42,3
11,5.75,2.054,0.392,-0.233,82.5,41.4,2.9
11,5.75,2.054,0.392,-0.233,97.5,32.8,2.7
11,5.75,2.054,0.392,-0.233,112.5,33.9,2.6
11,5.75,2.054,0.392,-0.233,127.5,28,2.3
11,5.75,2.054,0.392,-0.233,142.5,27.3,2.3
11,5.75,2.054,0.392,-0.233,157.5,27.6,2.2
11,5.75,2.054,0.392,-0.233,172.5,26.7,2.2
11,5.75,2.054,0.392,-0.233,187.5,26.6,2.2
11,5.75,2.054,0.392,-0.233,202.5,30.9,2.3
11,5.75,2.054,0.392,-0.233,217.5,28.3,2.3
11,5.75,2.054,0.392,-0.233,232.5,25.6,2.3
11,5.75,2.054,0.392,-0.233,247.5,30.5,2.5
11,5.75,2.054,0.392,-0.233,262.5,34.3,2.7
11,5.75,2.054,0.392,-0.233,277.5,34.5,2.8
11,5.75,2.054,0.392,-0.233,292.5,41.8,3
11,5.75,2.054,0.392,-0.233,307.5,43.2,3.2
11,5.75,2.054,0.392,-0.233,322.5,53.2,3.5
11,5.75,2.054,0.392,-0.233,337.5,53.2,3.5
11,5.75,2.054,0.392,-0.233,352.5,55.5,3.7
12,5.75,2.074,0.398,-0.279,7.5,56.3,4.4
12,5.75,2.074,0.398,-0.279,22.5,45.2,3.8
12,5.75,2.074,0.398,-0.279,37.5,44.9,3.5
12,5.75,2.074,0.398,-0.279,52.5,41.2,3.4
12,5.75,2.074,0.398,-0.279,67.5,34.6,3
12,5.75,2.074,0.398,-0.279,82.5,30.9,2.9
12,5.75,2.074,0.398,-0.279,97.5,30.5,2.7
12,5.75,2.074,0.398,-0.279,112.5,28.9,2.5
12,5.75,2.074,0.398,-0.279,127.5,23.1,2.2
12,5.75,2.074,0.398,-0.279,142.5,23.2,2.2
12,5.75,2.074,0.398,-0.279,157.5,25.4,2.3
12,5.75,2.074,0.398,-0.279,172.5,24.2,2.2
12,5.75,2.074,0.398,-0.279,187.5,22.4,2.1
12,5.75,2.074,0.398,-0.279,202.5,20.4,2
12,5.75,2.074,0.398,-0.279,217.5,29.1,2.4
12,5.75,2.074,0.398,-0.279,232.5,21.6,2.2
12,5.75,2.074,0.398,-0.279,247.5,26.7,2.5
12,5.75,2.074,0.398,-0.279,262.5,30,2.7
12,5.75,2.074,0.398,-0.279,277.5,34.9,2.8
12,5.75,2.074,0.398,-0.279,292.5,30.5,2.7
12,5.75,2.074,0.398,-0.279,307.5,35.9,3
12,5.75,2.074,0.398,-0.279,322.5,41,3.3
12,5.75,2.074,0.398,-0.279,337.5,46.9,3.8
12,5.75,2.074,0.398,-0.279,352.5,44,4.1
13,5.75,2.084,0.4,-0.324,7.5,50.5,5.9
13,5.75,2.084,0.4,-0.324,22.5,51.7,5.1
13,5.75,2.084,0.4,-0.324,37.5,36.2,4
13,5.75,2.084,0.4,-0.324,52.5,36.4,3.8
13,5.75,2.084,0.4,-0.324,67.5,30.7,3.2
13,5.75,2.084,0.4,-0.324,82.5,24.9,3
13,5.75,2.084,0.4,-0.324,97.5,26.4,2.9
13,5.75,2.084,0.4,-0.324,112.5,20,2.5
13,5.75,2.084,0.4,-0.324,127.5,24.5,2.6
13,5.75,2.084,0.4,-0.324,142.5,18.9,2.4
13,5.75,2.084,0.4,-0.324,157.5,20,2.7
13,5.75,2.084,0.4,-0.324,172.5,18.5,2.6
13,5.75,2.084,0.4,-0.324,187.5,16.6,2.6
13,5.75,2.084,0.4,-0.324,202.5,22.8,2.8
13,5.75,2.084,0.4,-0.324,217.5,22.1,2.6
13,5.75,2.084,0.4,-0.324,232.5,20.8,2.6
13,5.75,2.084,0.4,-0.324,247.5,28.1,2.9
13,5.75,2.084,0.4,-0.324,262.5,24.8,2.9
13,5.75,2.084,0.4,-0.324,277.5,28.2,3.1
13,5.75,2.084,0.4,-0.324,292.5,27,3
13,5.75,2.084,0.4,-0.324,307.5,39.3,3.6
13,5.75,2.084,0.4,-0.324,322.5,39.5,4.1
13,5.75,2.084,0.4,-0.324,337.5,41.4,5
13,5.75,2.084,0.4,-0.324,352.5,37.4,5.5
14,5.75,2.091,0.401,-0.371,7.5,53.3,9
14,5.75,2.091,0.401,-0.371,22.5,52,6.9
14,5.75,2.091,0.401,-0.371,37.5,36.9,4.8
14,5.75,2.091,0.401,-0.371,52.5,33.8,4.1
14,5.75,2.091,0.401,-0.371,67.5,31,3.5
14,5.75,2.091,0.401,-0.371,82.5,22,3
14,5.75,2.091,0.401,-0.371,97.5,27.4,3.2
14,5.75,2.091,0.401,-0.371,112.5,24,3.1
14,5.75,2.091,0.401,-0.371,127.5,19.7,3
14,5.75,2.091,0.401,-0.371,142.5,16.2,3.2
14,5.75,2.091,0.401,-0.371,157.5,15.5,3.6
14,5.75,2.091,0.401,-0.371,172.5,15.9,3.9
14,5.75,2.091,0.401,-0.371,187.5,17.4,4
14,5.75,2.091,0.401,-0.371,202.5,17.2,3.4
14,5.75,2.091,0.401,-0.371,217.5,22.2,3.2
14,5.75,2.091,0.401,-0.371,232.5,17.1,2.7
14,5.75,2.091,0.401,-0.371,247.5,22.6,3
14,5.75,2.091,0.401,-0.371,262.5,19.5,2.9
14,5.75,2.091,0.401,-0.371,277.5,23.7,3.1
14,5.75,2.091,0.401,-0.371,292.5,27.2,3.5
14,5.75,2.091,0.401,-0.371,307.5,29.7,3.8
14,5.75,2.091,0.401,-0.371,322.5,31.6,4.8
14,5.75,2.091,0.401,-0.371,337.5,33.4,6.4
14,5.75,2.091,0.401,-0.371,352.5,43.6,8.8
15,5.75,2.161,0.336,-0.171,7.5,120.7,4.7
15,5.75,2.161,0.336,-0.171,22.5,132.5,4.9
15,5.75,2.161,0.336,-0.171,37.5,118.7,4.5
15,5.75,2.161,0.336,-0.171,52.5,99.8,4.1
15,5.75,2.161,0.336,-0.171,67.5,88.4,3.8
15,5.75,2.161,0.336,-0.171,82.5,81.4,3.6
15,5.75,2.161,0.336,-0.171,97.5,62.7,3.1
15,5.75,2.161,0.336,-0.171,112.5,61.3,3
15,5.75,2.161,0.336,-0.171,127.5,58.1,3
15,5.75,2.161,0.336,-0.171,142.5,52.9,2.7
15,5.75,2.161,0.336,-0.171,157.5,43.9,2.6
15,5.75,2.161,0.336,-0.171,172.5,45.4,2.5
15,5.75,2.161,0.336,-0.171,187.5,41,2.4
15,5.75,2.161,0.336,-0.171,202.5,44.2,2.5
15,5.75,2.161,0.336,-0.171,217.5,51.6,2.7
15,5.75,2.161,0.336,-0.171,232.5,57.7,2.9
15,5.75,2.161,0.336,-0.171,247.5,56.9,2.9
15,5.75,2.161,0.336,-0.171,262.5,69.3,3.2
15,5.75,2.161,0.336,-0.171,277.5,77,3.5
15,5.75,2.161,0.336,-0.171,292.5,95.5,3.9
15,5.75,2.161,0.336,-0.171,307.5,103.1,4
15,5.75,2.161,0.336,-0.171,322.5,114.1,4.4
15,5.75,2.161,0.336,-0.171,337.5,117.8,4.6
15,5.75,2.161,0.336,-0.171,352.5,120.3,4.8
16,5.75,2.19,0.342,-0.231,7.5,100.1,7.6
16,5.75,2.19,0.342,-0.231,22.5,106.9,6.8
16,5.75,2.19,0.342,-0.231,37.5,93.9,6.1
16,5.75,2.19,0.342,-0.231,52.5,76.9,5
16,5.75,2.19,0.342,-0.231,67.5,67.7,4.5
16,5.75,2.19,0.342,-0.231,82.5,55.1,3.9
16,5.75,2.19,0.342,-0.231,97.5,53.8,3.7
16,5.75,2.19,0.342,-0.231,112.5,40.3,3.1
16,5.75,2.19,0.342,-0.231,127.5,37.3,2.8
16,5.75,2.19,0.342,-0.231,142.5,33.6,2.7
16,5.75,2.19,0.342,-0.231,157.5,34.4,2.8
16,5.75,2.19,0.342,-0.231,172.5,31.9,2.6
16,5.75,2.19,0.342,-0.231,187.5,32.6,2.7
16,5.75,2.19,0.342,-0.231,202.5,37.1,2.8
16,5.75,2.19,0.342,-0.231,217.5,39.5,2.9
16,5.75,2.19,0.342,-0.231,232.5,41.5,3
16,5.75,2.19,0.342,-0.231,247.5,43,3.1
16,5.75,2.19,0.342,-0.231,262.5,50.9,3.5
16,5.75,2.19,0.342,-0.231,277.5,54.2,3.7
16,5.75,2.19,0.342,-0.231,292.5,67.8,4.2
16,5.75,2.19,0.342,-0.231,307.5,84.2,4.8
16,5.75,2.19,0.342,-0.231,322.5,90.7,5.5
16,5.75,2.19,0.342,-0.231,337.5,83.8,6.6
16,5.75,2.19,0.342,-0.231,352.5,87.9,7.4
17,5.75,2.194,0.343,-0.278,37.5,58.7,7
17,5.75,2.194,0.343,-0.278,52.5,59.3,5.8
17,5.75,2.194,0.343,-0.278,67.5,54.4,5.1
17,5.75,2.194,0.343,-0.278,82.5,47.8,4.2
17,5.75,2.194,0.343,-0.278,97.5,36.7,3.6
17,5.75,2.194,0.343,-0.278,112.5,36.5,3.3
17,5.75,2.194,0.343,-0.278,127.5,25.9,2.6
17,5.75,2.194,0.343,-0.278,142.5,27.3,2.7
17,5.75,2.194,0.343,-0.278,157.5,29.2,2.8
17,5.75,2.194,0.343,-0.278,172.5,29.9,2.8
17,5.75,2.194,0.343,-0.278,187.5,27.7,2.8
17,5.75,2.194,0.343,-0.278,202.5,23.7,2.6
17,5.75,2.194,0.343,-0.278,217.5,31.2,2.8
17,5.75,2.194,0.343,-0.278,232.5,33.4,2.9
17,5.75,2.194,0.343,-0.278,247.5,30.9,3
17,5.75,2.194,0.343,-0.278,262.5,36.4,3.4
17,5.75,2.194,0.343,-0.278,277.5,48.5,3.9
17,5.75,2.194,0.343,-0.278,292.5,51.6,4.3
17,5.75,2.194,0.343,-0.278,307.5,60.3,5.4
17,5.75,2.194,0.343,-0.278,322.5,62.2,6.4
18,5.75,2.191,0.342,-0.324,37.5,53.8,10.1
18,5.75,2.191,0.342,-0.324,52.5,48.6,7.3
18,5.75,2.191,0.342,-0.324,67.5,55.8,6.2
18,5.75,2.191,0.342,-0.324,82.5,34.2,4.4
18,5.75,2.191,0.342,-0.324,97.5,30.9,3.8
18,5.75,2.191,0.342,-0.324,112.5,28.6,3.4
18,5.75,2.191,0.342,-0.324,127.5,27.6,3.1
18,5.75,2.191,0.342,-0.324,142.5,26.7,3
18,5.75,2.191,0.342,-0.324,157.5,24.8,2.8
18,5.75,2.191,0.342,-0.324,172.5,23.5,2.8
18,5.75,2.191,0.342,-0.324,187.5,21.6,2.8
18,5.75,2.191,0.342,-0.324,202.5,29.2,3
18,5.75,2.191,0.342,-0.324,217.5,23,2.7
18,5.75,2.191,0.342,-0.324,232.5,29.3,3
18,5.75,2.191,0.342,-0.324,247.5,21.4,3.1
18,5.75,2.191,0.342,-0.324,262.5,30.4,3.9
18,5.75,2.191,0.342,-0.324,277.5,43.6,4.4
18,5.75,2.191,0.342,-0.324,292.5,55,5.6
18,5.75,2.191,0.342,-0.324,307.5,39.5,6.2
18,5.75,2.191,0.342,-0.324,322.5,70.1,9.9
19,5.75,2.193,0.342,-0.371,37.5,68.8,21.3
19,5.75,2.193,0.342,-0.371,52.5,37.1,10.4
19,5.75,2.193,0.342,-0.371,67.5,40.6,7
19,5.75,2.193,0.342,-0.371,82.5,29,5
19,5.75,2.193,0.342,-0.371,97.5,27,4.3
19,5.75,2.193,0.342,-0.371,112.5,21,3.5
19,5.75,2.193,0.342,-0.371,127.5,18.8,2.9
