,Set#,RepNum,ReH,ReE,ReHtilde
13160,132,60,1.4906676543870994,-3.3774513553925267,5.412582972535864
13161,132,61,2.1844591062723544,21.024521419292153,-18.142234765580902
13162,132,62,3.395044105484317,-22.5891123058157,16.14359379967835
13163,132,63,0.31736233059883034,7.208063521601644,-1.3105784179886242
13164,132,64,0.9347333896326037,3.643962081042015,0.9728417859586872
13165,132,65,1.6347475505181388,-5.406236661293924,6.562714274708838
13166,132,66,0.3165476418125269,3.9632194160307437,0.7168214715909477
13167,132,67,3.737434386921309,-19.177932424753077,8.116214752381383
13168,132,68,2.0270581552063414,-7.5618375051226545,2.851661785249339
13169,132,69,1.008184183461675,-21.483913326169176,19.16867435696715
13170,132,70,-1.6085991285652994,28.755728019199555,-10.913319415155838
13171,132,71,-0.06714648737396889,4.44416696233173,0.30960953908086764
13172,132,72,1.2090565444073993,-5.628756009281294,4.914576615846397
13173,132,73,0.49592469384407445,1.36614840755548,1.3275387289642457
13174,132,74,0.7430898969021598,1.8994413203320826,2.157661724641275
13175,132,75,1548.684872548257,18996.57501197985,-7998.294892081358
13176,132,76,1.3230150549654365,-1.3696523128343272,4.106149558459771
13177,132,77,-0.44258442374860496,8.950551490623683,-0.4111909550660382
13178,132,78,0.11394758857255195,10.407438019407119,-4.27044741654044
13179,132,79,-0.45068026246195053,6.588661415318506,2.3267595151055516
13180,132,80,-0.0625826259589497,22.03347506088402,-12.337008398378622
13181,132,81,3.2915795899761635,-16.248220527539534,8.756519156307565
13182,132,82,1.3405919266696669,-12.343900701814203,8.164815421022704
13183,132,83,-0.9244448391594758,-65.14738919316788,61.26363079604719
13184,132,84,-10.103308946886997,62.79215756050085,-5.998877098867701
13185,132,85,0.4105246306638449,-3.7314386507187978,2.8481788083137265
13186,132,86,3.748491930849721,-17.35120343375682,5.959709347236997
13187,132,87,-0.17084832994316534,7.641203327848785,0.20770385236745315
13188,132,88,-0.7013257905749885,12.534530212279172,-2.4573263166895285
13189,132,89,1.4160827044768463,8.39305261689334,-3.140012790765087
13190,132,90,0.39136286582185126,-3.2470418153184695,3.154851077994041
13191,132,91,2.5863498301255925,-102.33220198779951,61.26562372749151
13192,132,92,-0.14741601282414807,32.696769867077265,-25.942391999567523
13193,132,93,-6.573023433581076,54.15767958072709,-11.451641641759814
13194,132,94,-1.9478423739895754,29.374027895129135,-13.060482105117284
13195,132,95,-0.07858407573861492,8.818835030269241,-1.1901064504573253
13196,132,96,-5.1454913630631784,34.13657993198497,-2.0625425473301324
13197,132,97,7.156369839795492,-57.79300593285938,20.359301980309873
13198,132,98,2.0656863745871403,-8.658394726167055,5.172372600586494
13199,132,99,2.221146244431504,-13.034282787521596,8.572158594138523
13200,133,0,1.0900126786112825,-0.023383240008568285,2.889500845605495
13201,133,1,3.261404672978744,40.15671035648865,-30.82733432075155
13202,133,2,0.6671322722675411,-7.24189393725516,5.3557805134474945
13203,133,3,1.417325679099316,-4.926775190776494,6.497032854199407
13204,133,4,5.595430065360018,-37.03448072090292,9.029461613313797
13205,133,5,-0.20363577759535623,-58.26664590198891,52.79172017656259
13206,133,6,0.2880150039498489,4.357527675315855,-0.49881017127668725
13207,133,7,0.8059466934984112,0.5914655375858304,2.617634174882444
13208,133,8,8.852276851079994,-68.11221007839904,18.96435641389925
13209,133,9,1.0694966869336502,4.401582212605717,0.7806785760546371
13210,133,10,1.0362320489195647,-0.37020924063045135,0.5198268559049639
13211,133,11,1.022235612403847,-2.7969913341801487,5.742487215886078
13212,133,12,2.744226028095084,-11.602088236055529,10.380608082566475
13213,133,13,0.5384440669015589,-1.4856605745577205,2.3258782072505517
13214,133,14,-0.12307838900410006,-46.958694966331585,41.3550955926271
13215,133,15,0.9769805255564665,-8.561095218927601,8.991556617387973
13216,133,16,0.5693201681867182,-3.376020536550558,3.874686794964409
13217,133,17,0.6568243366761337,-44.16742751299121,40.403324895139455
13218,133,18,1.9581768092191159,-8.458442878352763,5.637411597624732
13219,133,19,2.14722503664365,49.76700675592066,-42.14032535814408
13220,133,20,-0.3375345261165408,7.346338752413049,-1.2184180373450548
13221,133,21,-1.5218339017657145,14.057729925917801,-0.5223061345320505
13222,133,22,1.1461045863787622,2.923402350062381,0.4771353640558329
13223,133,23,-1.5574350621158828,14.889383941215648,0.36659733632707475
13224,133,24,2.064338258378949,-14.55595854144958,10.179310370635312
13225,133,25,1.1665657623920482,-20.96366625052038,21.5546550770215
13226,133,26,0.21706993601296043,10.99378583465088,-4.4454395000940155
13227,133,27,2.893808803788904,-19.97307265465011,13.992324728686267
13228,133,28,2.993780783178634,-19.21024635052283,14.250707401688224
13229,133,29,1.8068110378988782,-20.25996903168618,20.7823853779207
13230,133,30,0.4748099063298854,2.6455784183056585,0.3049730141210303
13231,133,31,1.1949076355921082,-3.703388138425718,4.045543450209567
13232,133,32,0.767748760601832,-1.632545135646903,2.861553322179155
13233,133,33,1.7058414023191335,-7.732880657967929,8.836780697862398
13234,133,34,-0.5906495977978963,8.704874816255359,-0.47910535090750517
13235,133,35,1.275156744025373,-2.2456011593166187,3.1613614559465457
13236,133,36,1.0319189033085174,-10.06161975873757,8.765241205780667
13237,133,37,0.5077599278218617,5.835385666075748,-0.2725088579628253
13238,133,38,0.39734089151190966,-6.509134502135498,2.9745653097493268
13239,133,39,1.7745125107829747,6.075390069170812,-0.5949077270980307
13240,133,40,3.7386061614410617,-30.355727311267092,4.021973906959005
13241,133,41,-0.8052339508157038,13.888872526452625,-0.6862974081622921
13242,133,42,0.2829284187585402,13.388482872532569,-6.248879580126364
13243,133,43,7.1825388155040555,-37.77401502295334,6.709084773795669
13244,133,44,-7.895489129130782,91.3097781183145,-55.903372630998774
13245,133,45,-0.7599973721902497,12.786141026434477,-1.3347275743585143
13246,133,46,0.37150296285038353,5.565174159685058,-2.3060037854443602
13247,133,47,0.6196878368796911,10.442637567757018,-7.024239454727853
13248,133,48,0.23599886356242644,8.438541759072143,-1.854990622583232
13249,133,49,2.621621104065383,-22.25541853541223,9.404158514152526
13250,133,50,0.31902153121459426,-2.278813938473956,2.3221640142138065
13251,133,51,3.653019232681115,-21.08820177212984,6.975906587785177
13252,133,52,1.765495724012469,18.354767955622993,-13.175496678278618
13253,133,53,-0.20340102613017308,5.993899284525401,0.5292899683449539
13254,133,54,0.427465951170127,3.615486341207899,-0.026777135581401268
13255,133,55,0.06468509972411418,3.7339833427379756,0.5809785638407863
13256,133,56,1.4314175126999715,-11.167880866993245,6.895778415551802
13257,133,57,5.666935531750876,-40.32146063371874,8.312587102121757
13258,133,58,2.2770750283657524,-11.525453958740318,10.172377795132885
13259,133,59,0.6560769361219649,7.033172225472769,-1.3918904700568924
13260,133,60,2.0635820047461215,-7.829750568002258,7.295654710511777
13261,133,61,-2.7698529569816674,20.14378807385494,0.7043620059715888
13262,133,62,4.9772146998768765,-51.87377787122737,11.170968270092459
13263,133,63,1.118796598340039,-2.648766599637949,4.31282201420551
13264,133,64,1.0591867201140963,11.982093606838488,1.3092265500469937
13265,133,65,-0.3957773331995122,14.33697187320025,-2.047526108866866
13266,133,66,0.2614610802682022,7.806245436703371,-3.4497420675335246
13267,133,67,1.1697556848053563,-24.763920685117224,22.32688584940398
13268,133,68,1.1056047410242085,-34.82984092693935,33.78785613965621
13269,133,69,-7.515584009817886,48.43253020446131,-4.383164548844818
13270,133,70,1.0802290924940063,-4.980648238121327,7.047661956459758
13271,133,71,1.0519962477914493,-6.889141803339577,5.410961025554531
13272,133,72,0.40351347817639943,4.897904900672899,-0.4346328886123358
13273,133,73,-3.4951788466492255,32.9570640273541,-5.72813864390158
13274,133,74,1.5261352300276203,-6.798075373407721,5.120533179845528
13275,133,75,31.004018457673393,339.8525202150778,-334.76093455677716
13276,133,76,1.368801190942904,-8.92956062937778,5.0715704580795276
13277,133,77,1.6045638739675616,23.283184399061128,-19.162400583077567
13278,133,78,1.8709548764223427,-29.592389513016865,29.894732649353422
13279,133,79,1.0582764661433104,3.4349241180244334,-0.4066701198213456
13280,133,80,0.31782918255874615,1.0317914368042596,1.9109156423210045
13281,133,81,-1.0434110585900602,14.214637225318029,-2.330557171128375
13282,133,82,-3.0005816821249818,23.1421515966764,-0.7191863345544204
13283,133,83,-0.01944334811382503,-59.55531888214518,55.64597496691549
13284,133,84,1.52383573012377,-6.66432483077945,5.515093664791044
13285,133,85,-0.5074141148819229,25.93104769431387,-14.322016723936796
13286,133,86,6.860360368089792,-36.57981712570799,13.029706581311023
13287,133,87,1.7510101339942066,-8.24766193036391,7.679537178734506
13288,133,88,1.962182279747406,-14.75933538421451,13.192888331681642
13289,133,89,-2.0530028399021343,18.017778039907498,0.9750080855601794
13290,133,90,2.4420219179013425,-18.906509915867137,14.300694639650704
13291,133,91,1.424781478216577,-8.743409479861588,7.42395181694894
13292,133,92,1.7946354625370617,-9.676304768398653,8.126659259340808
13293,133,93,1.5672727671226656,-3.256688788102353,4.28883664765046
13294,133,94,0.7899202206951592,0.6791035766406437,2.258986820369145
13295,133,95,1.488137725032292,-3.280368638630713,5.465040613468452
13296,133,96,0.9004263865158305,3.724990388948968,1.0648495384584271
13297,133,97,0.6765490562365338,-4.0837641836549095,3.031669458756673
13298,133,98,0.7187123573362684,12.762509327884114,-6.995431464279922
13299,133,99,1.3746019657390067,-21.0230869960896,11.133183688023975
13300,134,0,1.7952514630229064,-24.231025492355162,22.35768506919473
13301,134,1,2.471101261014718,-14.50524707088396,5.502647463558799
13302,134,2,0.6023214400739529,4.59683205718107,-1.282158769058777
13303,134,3,2.1994841019959557,40.05970191569468,-29.059849064131605
13304,134,4,2.39826898269171,-18.560095179937008,12.94188781869297
13305,134,5,1.6403809484454643,-7.541383402422598,8.888242130753026
13306,134,6,0.820939347581908,-27.272297165516733,17.877223350514782
13307,134,7,1.0267848638921186,-10.81880216097833,8.384424052609617
13308,134,8,2.2047275310243597,-16.1016249830252,13.119141875388442
13309,134,9,-7.595510274129977,212.38703321496664,-101.94010217215796
13310,134,10,0.25918647921142574,2.033086407995725,0.7394045412755353
13311,134,11,0.44130689969769205,-18.48800699635654,11.317059288007421
13312,134,12,3.57730181994811,58.2476538239007,-50.893494847133084
13313,134,13,-4.511949758259131,33.3538162538679,-5.144067826676289
13314,134,14,0.8741739679430713,-5.39715538025186,5.16592529943089
13315,134,15,3.0719272049223143,-17.33139364719925,11.298525038210432
13316,134,16,-0.24507632283926445,10.36171582060667,-2.550227916522746
13317,134,17,1.436674536143038,0.7599880878804156,1.8573985068407661
13318,134,18,-0.7998072985023418,7.8256759941166125,2.081558709199446
13319,134,19,-0.395144346334579,12.776809279849434,-4.729773973735921
13320,134,20,1.3839610117883412,2.139173982510942,-1.2303600417291207
13321,134,21,1.5193053762914173,-24.037013906842898,21.275864862059336
13322,134,22,2.6734440394497927,-15.459829759093171,11.581924768310147
13323,134,23,0.27676720697688295,0.3831441097926688,2.035249746576894
13324,134,24,1.8759271777270004,28.36741388501064,-29.809146146767066
13325,134,25,4.501839421366168,-24.744026690402382,13.043673066517004
13326,134,26,1.3436428894765393,-4.733270834805623,4.8987947032614985
13327,134,27,1.249701173605692,-5.397684247254612,5.324653566004638
13328,134,28,-0.016693412888370895,6.671072361200453,-0.40742214449979475
13329,134,29,0.8997440757705715,-13.543213364790846,9.181008477758168
13330,134,30,1.1108225077905798,-14.821196966385278,14.478694351422178
13331,134,31,1.848046175425397,-16.60364339900325,18.129196315064497
13332,134,32,1.4801190062447789,-1.3266889968491022,2.914006940545846
13333,134,33,1.4966249348362695,14.017435152733643,-13.338895165358705
13334,134,34,-8.826245379002517,58.09496820339856,-5.751350780584942
13335,134,35,-1.1328949241164252,-60.895841918537585,58.39946295236803
13336,134,36,1.0459047789036886,-2.969627353220458,4.514582711961858
13337,134,37,1.431641761722348,-9.636041447143386,10.648408721887396
13338,134,38,0.055384618719056755,11.099859878093664,1.6141928612448566
13339,134,39,2.859670165378245,-43.41842881285394,14.564503882345031
13340,134,40,12.09337669667408,-97.5532671500845,64.62128002847382
13341,134,41,-0.2074954269276641,18.69127129171875,-0.44474761021649467
13342,134,42,-199.58363074335767,2883.834238536403,-1578.5422733508562
13343,134,43,0.827154853174826,-14.099465140236344,-1.005005139400494
13344,134,44,-6.293946619217866,162.7367590311979,-45.96065136135949
13345,134,45,4.847132843627681,-27.264570812532877,7.401926392581718
13346,134,46,2.16283904818764,-18.420210908989514,7.744383030043235
13347,134,47,0.46330170631133205,15.572110712707255,0.128755788690801
13348,134,48,3.9787864089511618,-31.62439867662594,14.769371120590625
13349,134,49,3.265042157036431,-39.590092036951745,8.749866397256696
13350,134,50,3.8959167281283427,-74.53358641970043,23.865556612433966
13351,134,51,2.9993176927312937,-25.42998837138593,10.004151407505042
13352,134,52,4.246627256331369,-37.89046935531066,16.131529657288716
13353,134,53,-1.5018584238296917,24.623376200107643,-2.0230069291354247
13354,134,54,-0.267689692015292,66.39172255626698,-6.764813669893946
13355,134,55,-3.1464699230965554,52.24582305366562,-28.63688799814337
13356,134,56,0.058205317973566095,22.105947631565027,-0.8514775237164514
13357,134,57,0.7558380626915654,-2.494285984895887,4.421795496006134
13358,134,58,0.35835413019227214,10.54301358834831,4.124428818467809
13359,134,59,18.47331284095659,-250.12371021521483,-36.853665990873445
13360,134,60,0.13035232892590512,9.46146279549194,-2.3686867793315893
13361,134,61,1.8302367925423455,-12.855244286550837,4.201878168900011
13362,134,62,2.189419171332393,-41.18780359752006,22.682771695468166
13363,134,63,-0.007487257162932082,40.385195561612605,-4.054204479620209
13364,134,64,2.872635078281244,-72.7387350280533,27.750125979394337
13365,134,65,0.8094453961995012,-6.876076225686932,5.1253765832000875
13366,134,66,0.19772150278175976,54.6469524772437,-34.63889816833556
13367,134,67,-2.3301194836449945,33.746936146341426,-38.91744026508576
13368,134,68,0.05385725168743405,26.679087859308723,-13.670129625716852
13369,134,69,-0.42331973197238365,33.632311686680296,-16.638209919728467
13370,134,70,1.6973972852538728,-5.269274612905572,5.15995159389847
13371,134,71,1.4996150231319314,-14.275157712596304,8.078520265298
