,Epoch,Batch,Set,Calculated Points,Calculated CFFs,MAE,Max Residual,NRMSE
20,10,6,160,"[0.03253634 0.0305158  0.02756445 0.02413103 0.02061195 0.01728394
 0.01429977 0.01171693 0.00953282 0.0077133  0.00621173 0.00497989
 0.00397343 0.003154   0.00248972 0.00195469 0.00152829 0.00119438
 0.00094061 0.00075776 0.00063931 0.0005811  0.0005811  0.00063931
 0.00075776 0.00094061 0.00119438 0.00152828 0.00195468 0.00248972
 0.003154   0.00397343 0.00497989 0.00621173 0.0077133  0.00953282
 0.01171692 0.01429976 0.01728394 0.02061195 0.02413102 0.02756443
 0.03051579 0.03253632 0.0332578 ]",[-1.220903    0.16574477  0.69151175 -0.00443096],0.007975801635697338,0.03168730263957978,0.6017700303380231
21,10,6,180,"[-0.02262167 -0.02304053 -0.02361153 -0.02422787 -0.02482006 -0.02535452
 -0.02582058 -0.02621932 -0.02655687 -0.02684096 -0.02707925 -0.02727868
 -0.0274452  -0.02758384 -0.02769868 -0.02779308 -0.02786971 -0.0279307
 -0.02797768 -0.02801189 -0.02803423 -0.02804525 -0.02804525 -0.02803423
 -0.02801189 -0.02797768 -0.0279307  -0.02786971 -0.02779308 -0.02769868
 -0.02758384 -0.0274452  -0.02727868 -0.02707925 -0.02684096 -0.02655687
 -0.02621932 -0.02582058 -0.02535452 -0.02482006 -0.02422786 -0.02361151
 -0.0230405  -0.02262163 -0.02246561]",[-2.7078376   0.02365454  1.4554658  -0.02960372],0.03338275762564946,0.046475931622314455,4.800877164708911
22,10,6,200,"[0.02986391 0.02968697 0.02942571 0.02911635 0.02879109 0.02847309
 0.02817623 0.02790725 0.02766823 0.02745858 0.02727635 0.02711906
 0.02698416 0.02686923 0.02677209 0.02669088 0.026624   0.02657015
 0.02652827 0.02649754 0.02647738 0.02646739 0.02646739 0.02647738
 0.02649754 0.02652826 0.02657015 0.026624   0.02669088 0.02677209
 0.02686923 0.02698416 0.02711906 0.02727635 0.02745858 0.02766823
 0.02790725 0.02817623 0.02847309 0.02879109 0.02911635 0.02942571
 0.02968697 0.02986392 0.02992679]",[-3.1730058   0.16651553  0.96887827  0.02479443],0.02377132741853386,0.025781092083738327,6.144853509478343
23,10,6,220,"[0.01694812 0.01650421 0.01588866 0.01521608 0.01456852 0.01398889
 0.01349139 0.01307423 0.01272861 0.01244383 0.01220962 0.01201707
 0.01185877 0.01172875 0.01162227 0.01153559 0.01146579 0.01141061
 0.01136831 0.01133763 0.01131765 0.01130781 0.01130781 0.01131765
 0.01133763 0.01136831 0.01141061 0.01146579 0.01153559 0.01162227
 0.01172875 0.01185877 0.01201707 0.01220962 0.01244383 0.01272861
 0.01307422 0.01349139 0.01398889 0.01456852 0.01521608 0.01588866
 0.01650421 0.01694812 0.01711143]",[-2.6965222  -1.1435359   0.4683278   0.01003314],0.009369717150222067,0.010689469612863541,2.6320432154630216
24,10,11,0,"[0.7032232  0.63768256 0.54962057 0.4575201  0.37346905 0.3027139
 0.24595588 0.20168972 0.16769724 0.14179006 0.12209625 0.1071208
 0.09571298 0.08700478 0.08034884 0.07526562 0.07140142 0.06849691
 0.06636377 0.06486796 0.06391788 0.06345652 0.06345652 0.06391788
 0.06486795 0.06636377 0.06849691 0.07140142 0.07526561 0.08034884
 0.08700474 0.09571297 0.1071208  0.12209618 0.14179006 0.16769724
 0.20168966 0.2459558  0.3027139  0.3734689  0.45752004 0.54962057
 0.63768256 0.7032231  0.72773933]",[ 1.7856312  -1.638901    0.0844158   0.05314817],0.03105275530502318,0.06640979504966735,0.16885845514731276
25,10,11,20,"[ 0.6531034   0.5363403   0.40424287  0.2893113   0.2002111   0.13437295
  0.08649328  0.05171029  0.02630111  0.00758719 -0.00631813 -0.01673889
 -0.02460778 -0.03058616 -0.03514651 -0.03862866 -0.04127817 -0.04327264
 -0.0447399  -0.04577043 -0.04642581 -0.04674433 -0.04674433 -0.04642581
 -0.04577043 -0.0447399  -0.04327264 -0.04127817 -0.03862866 -0.03514651
 -0.03058616 -0.02460779 -0.01673889 -0.00631815  0.00758719  0.02630111
  0.05171029  0.08649318  0.13437295  0.20021082  0.2893113   0.4042436
  0.53634137  0.6531034   0.70175374]",[ 1.7567405  -1.2439789  -0.08785049 -0.05522351],0.046734966496003255,0.06369370373153693,0.32434703839238144
26,10,11,40,"[0.63024366 0.5044978  0.37295592 0.2671096  0.19036603 0.13668346
 0.09935791 0.07323174 0.0547281  0.04144535 0.0317805  0.02465787
 0.01934866 0.01535348 0.01232621 0.01002452 0.00827731 0.00696329
 0.00599659 0.0053173  0.004885   0.0046748  0.0046748  0.004885
 0.0053173  0.00599659 0.00696328 0.00827731 0.01002452 0.01232621
 0.01535346 0.01934865 0.02465787 0.03178049 0.04144533 0.0547281
 0.0732317  0.09935781 0.13668346 0.19036585 0.2671096  0.37295592
 0.5044978  0.63024366 0.68546385]",[ 1.01808    -1.032671   -0.8090187  -0.00643188],0.022617759373167623,0.12275034098052973,0.23057048860228577
27,10,11,60,"[0.8297678  0.6903507  0.5316991  0.393325   0.28636572 0.20797598
 0.1516628  0.11135387 0.08237267 0.06136342 0.04598312 0.03460973
 0.0261195  0.01972997 0.01489251 0.01121986 0.00843695 0.00634796
 0.00481395 0.00373771 0.00305363 0.00272126 0.00272125 0.00305363
 0.00373771 0.00481395 0.00634795 0.00843694 0.01121984 0.01489251
 0.01972994 0.0261195  0.03460973 0.04598308 0.06136337 0.08237267
 0.1113537  0.15166257 0.20797598 0.28636548 0.39332443 0.5316991
 0.69035006 0.82976687 0.8875714 ]",[ 0.5796479  -0.6776835  -0.27384302 -0.01187285],0.015726477808259327,0.12315317678070059,0.13094414713707797
28,10,11,80,"[0.36199343 0.35323945 0.33953804 0.3220365  0.30203575 0.2808011
 0.25942636 0.23876277 0.21940535 0.20171809 0.18587857 0.17192763
 0.15981403 0.14943162 0.14064702 0.13331872 0.12731048 0.12249888
 0.11877836 0.11606321 0.11428893 0.11341254 0.11341254 0.11428893
 0.11606321 0.11877836 0.12249888 0.12731048 0.13331872 0.14064702
 0.14943162 0.15981399 0.17192763 0.18587856 0.20171809 0.21940535
 0.23876274 0.25942636 0.2808011  0.30203572 0.3220365  0.33953804
 0.35323945 0.36199343 0.36500612]",[ 2.2729905 -4.9228153  3.4291563  0.0656045],0.01499931835050371,0.043389962223053025,0.08549811789716198
29,10,11,100,"[-0.01006035 -0.01249607 -0.01556805 -0.01857026 -0.02115637 -0.02324675
 -0.02488678 -0.02615891 -0.02714413 -0.02790978 -0.02850815 -0.02897868
 -0.02935072 -0.02964608 -0.02988094 -0.03006735 -0.03021427 -0.03032837
 -0.03041457 -0.03047642 -0.03051637 -0.03053597 -0.03053597 -0.03051637
 -0.03047642 -0.03041457 -0.03032837 -0.03021427 -0.03006735 -0.02988094
 -0.02964608 -0.02935072 -0.02897868 -0.02850815 -0.02790978 -0.02714413
 -0.02615892 -0.02488678 -0.02324675 -0.02115637 -0.01857026 -0.01556805
 -0.01249605 -0.01006035 -0.00911293]",[-1.2868663  -0.611753    0.5939522  -0.03267224],0.040616068979700194,0.06550792992532253,2.738877402178038
30,10,11,120,"[ 0.09782514  0.08490188  0.06814221  0.05125159  0.03628575  0.02390517
  0.01401656  0.00624407  0.00016718 -0.00458675 -0.0083188  -0.01126212
 -0.01359364 -0.01544653 -0.01692067 -0.01809084 -0.01901311 -0.01972925
 -0.02027015 -0.02065814 -0.02090873 -0.02103167 -0.02103167 -0.02090873
 -0.02065814 -0.02027015 -0.01972925 -0.01901311 -0.01809084 -0.01692067
 -0.01544654 -0.01359365 -0.01126212 -0.00831881 -0.00458676  0.00016718
  0.00624407  0.01401652  0.02390517  0.03628576  0.05125142  0.06814221
  0.08490185  0.09782514  0.10276704]",[-1.5154917   0.07476534 -0.08242555 -0.03256803],0.03840434052760921,0.09005296463489532,0.8910429062778551
31,10,11,140,"[0.0378271  0.03783628 0.03784941 0.03786388 0.03787696 0.03788638
 0.03789065 0.03788911 0.03788187 0.03786959 0.03785329 0.03783412
 0.03781326 0.0377918  0.0377707  0.03775077 0.03773266 0.03771689
 0.03770385 0.03769384 0.03768707 0.03768365 0.03768365 0.03768707
 0.03769384 0.03770385 0.03771689 0.03773266 0.03775077 0.0377707
 0.0377918  0.03781326 0.03783412 0.03785329 0.03786959 0.03788187
 0.03788911 0.03789065 0.03788638 0.03787696 0.03786388 0.03784941
 0.03783627 0.0378271  0.03782381]",[-0.49498355 -0.3273632   0.07788697  0.03600498],0.035730319653206936,0.07830890312051772,0.578315521140558
32,10,11,160,"[0.05657015 0.05479316 0.05219287 0.04915975 0.04603992 0.04307664
 0.04040601 0.03808137 0.03610345 0.03444494 0.03306707 0.03192908
 0.03099312 0.03022621 0.02960076 0.02909419 0.02868846 0.02836937
 0.02812596 0.02795008 0.0278359  0.02777971 0.02777971 0.0278359
 0.02795008 0.02812596 0.02836937 0.02868846 0.02909419 0.02960076
 0.03022621 0.03099311 0.03192908 0.03306707 0.03444494 0.03610345
 0.03808137 0.040406   0.04307664 0.04603992 0.04915974 0.05219285
 0.05479315 0.05657014 0.05720408]",[-1.5281221   0.21210963  0.7477199   0.0223271 ],0.018850255238250308,0.0253894132730484,1.092868105900865
33,10,11,180,"[0.03828157 0.0371926  0.03577387 0.03433551 0.03305202 0.03198147
 0.03111824 0.03043234 0.02988954 0.02945933 0.02911692 0.02884306
 0.0286231  0.02844593 0.02830318 0.02818854 0.02809725 0.02802572
 0.02797129 0.02793201 0.02790653 0.027894   0.027894   0.02790653
 0.02793201 0.02797129 0.02802572 0.02809725 0.02818854 0.02830318
 0.02844593 0.0286231  0.02884306 0.02911691 0.02945933 0.02988954
 0.03043233 0.03111823 0.03198147 0.03305202 0.03433552 0.0357739
 0.03719263 0.03828162 0.038697  ]",[-1.8901005   0.16346721  0.04974705  0.026402  ],0.023653126883834523,0.02585122199848652,3.398386766531515
34,10,11,200,"[0.03146166 0.03123185 0.0308947  0.03049918 0.03008818 0.0296918
 0.02932724 0.02900202 0.02871747 0.02847161 0.02826092 0.02808145
 0.02792935 0.02780113 0.02769378 0.02760475 0.02753194 0.02747364
 0.0274285  0.02739551 0.02737391 0.02736323 0.02736323 0.02737391
 0.02739551 0.0274285  0.02747364 0.02753194 0.02760475 0.02769378
 0.02780113 0.02792935 0.02808145 0.02826092 0.02847161 0.02871747
 0.02900202 0.02932724 0.0296918  0.03008818 0.03049918 0.03089471
 0.03123186 0.03146168 0.0315436 ]",[-2.662576    0.25076705  0.21078074  0.02571937],0.02486858737877464,0.026676931268260956,6.4193544403510385
35,10,11,220,"[0.08000872 0.07953081 0.07887    0.07815101 0.07746252 0.07685018
 0.07632831 0.07589395 0.07553679 0.07524464 0.07500605 0.07481117
 0.0746519  0.07452178 0.07441572 0.07432974 0.07426074 0.07420634
 0.07416476 0.07413464 0.07411506 0.07410541 0.07410541 0.07411506
 0.07413464 0.07416476 0.07420634 0.07426074 0.07432974 0.07441572
 0.07452178 0.0746519  0.07481117 0.07500605 0.07524464 0.07553679
 0.07589395 0.07632831 0.07685018 0.07746252 0.07815101 0.07887
 0.07953081 0.08000872 0.0801848 ]",[-2.585568   -0.71354604  0.7001588   0.07290618],0.07221880746065656,0.07348441947224427,19.878440167133007
36,10,16,0,"[0.5620009  0.505255   0.42902577 0.3493268  0.27662662 0.21546295
 0.16643511 0.12823145 0.09892441 0.0766141  0.05967625 0.04681442
 0.03703119 0.02957463 0.02388432 0.01954531 0.0162518  0.0137797
 0.01196637 0.01069612 0.00988992 0.00949862 0.00949862 0.00988992
 0.01069611 0.01196637 0.0137797  0.0162518  0.0195453  0.02388432
 0.0295746  0.03703118 0.04681442 0.0596762  0.07661409 0.09892441
 0.1282314  0.16643503 0.21546295 0.27662644 0.3493268  0.42902577
 0.505255   0.5620009  0.5832295 ]",[ 1.4171158  -1.2934339   0.24160755  0.00196194],0.050342380480863785,0.18737751782608025,0.3308756502506884
37,10,16,20,"[0.76963174 0.64811957 0.51071906 0.39127865 0.298809   0.23061343
 0.18114777 0.14533061 0.11927041 0.10016695 0.08604789 0.07552952
 0.06763771 0.06168237 0.05717113 0.0537504  0.05116517 0.04923132
 0.04781662 0.04682763 0.04620088 0.04589694 0.04589694 0.04620088
 0.04682763 0.04781662 0.04923132 0.05116517 0.0537504  0.05717113
 0.06168237 0.0676377  0.07552952 0.08604786 0.10016695 0.11927041
 0.14533061 0.18114765 0.23061343 0.29880872 0.39127865 0.5107197
 0.64812064 0.7696317  0.8202722 ]",[ 1.9400051  -0.22125499  0.2708916   0.04301797],0.0498822583992886,0.11839420726013183,0.35638051510740454
38,10,16,40,"[0.67744637 0.54462254 0.40576223 0.29414746 0.2133547  0.1569693
 0.11788099 0.09062063 0.07139622 0.05766279 0.04772306 0.04043946
 0.03504245 0.03100575 0.02796542 0.02566727 0.02393233 0.02263403
 0.02168304 0.02101715 0.02059449 0.0203893  0.0203893  0.02059449
 0.02101715 0.02168304 0.02263403 0.02393233 0.02566727 0.02796542
 0.03100573 0.03504244 0.04043946 0.04772305 0.05766277 0.07139622
 0.09062059 0.11788088 0.1569693  0.21335454 0.29414746 0.40576223
 0.5446225  0.67744637 0.7357906 ]",[ 1.1995687  -0.9396528  -0.6654379   0.01151516],0.013469074310133191,0.07554763464355463,0.13273722554546075
