hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,COMPASS,d,2009
k+,1.24,0.006452,0.65,0.3,0.57,-0.0281,0.03,0,0.03,x,,,
k+,1.49,0.01054,0.48,0.35,0.56,-0.009,0.0199,0,0.0199,x,,,
k+,1.82,0.01628,0.38,0.39,0.56,0.0171,0.0184,0,0.0184,x,,,
k+,2.39,0.02533,0.32,0.44,0.55,0.0383,0.0186,0,0.0186,x,,,
k+,3.61,0.0398,0.3,0.46,0.54,0.0073,0.0221,0,0.0221,x,,,
k+,5.74,0.06279,0.3,0.45,0.54,0.0126,0.0258,0,0.0258,x,,,
k+,9.1,0.1008,0.3,0.45,0.53,-0.0222,0.0325,0,0.0325,x,,,
k+,14.5,0.1608,0.3,0.45,0.54,-0.0014,0.0465,0,0.0465,x,,,
k+,28.7,0.2847,0.33,0.44,0.56,0.0158,0.0762,0,0.0762,x,,,
k+,3.75,0.039,0.38,0.39,0.1543,0.0132,0.0266,0,0.0266,phT,,,
k+,3.75,0.039,0.38,0.39,0.2519,0.0133,0.0226,0,0.0226,phT,,,
k+,3.77,0.039,0.37,0.39,0.3503,-0.0105,0.0215,0,0.0215,phT,,,
k+,3.77,0.039,0.37,0.4,0.4491,0.013,0.0221,0,0.0221,phT,,,
k+,3.76,0.039,0.37,0.41,0.5486,0.0421,0.0236,0,0.0236,phT,,,
k+,3.68,0.038,0.37,0.42,0.6703,-0.0162,0.0218,0,0.0218,phT,,,
k+,3.71,0.038,0.37,0.43,0.8192,0.0218,0.0273,0,0.0273,phT,,,
k+,3.75,0.037,0.39,0.44,1.051,0.0055,0.0266,0,0.0266,phT,,,
k+,4.12,0.036,0.44,0.44,1.57,0.0134,0.0504,0,0.0504,phT,,,
k0,3.54,0.0309,0.435,0.2244,0.479,-0.0448,0.0354,0,0.0354,z,,,
k0,3.43,0.0333,0.397,0.2853,0.501,-0.0092,0.0313,0,0.0313,z,,,
k0,3.32,0.0356,0.366,0.3709,0.532,0.0125,0.0327,0,0.0327,z,,,
k0,3.13,0.0371,0.342,0.4802,0.556,-0.0537,0.041,0,0.041,z,,,
k0,3.03,0.0384,0.328,0.6111,0.596,0.016,0.0576,0,0.0576,z,,,
k0,2.97,0.0412,0.306,0.7804,0.633,-0.1024,0.0866,0,0.0866,z,,,
k0,1.44,0.00906,0.552,0.341,0.56,-0.0486,0.0305,0,0.0305,x,,,
k0,2.09,0.0209,0.344,0.361,0.521,-0.0474,0.0259,0,0.0259,x,,,
k0,4.23,0.04866,0.29,0.383,0.494,0.0378,0.0334,0,0.0334,x,,,
k0,8.71,0.10022,0.29,0.38,0.496,0.0468,0.0734,0,0.0734,x,,,
k0,18.6,0.19459,0.311,0.376,0.524,0.081,0.0978,0,0.0978,x,,,
k0,3.25,0.0358,0.359,0.346,0.2374,-0.0122,0.0291,0,0.0291,phT,,,
k0,3.33,0.035,0.374,0.355,0.4463,-0.0214,0.0306,0,0.0306,phT,,,
k0,3.32,0.0338,0.388,0.371,0.6411,-0.0056,0.0357,0,0.0357,phT,,,
k0,3.39,0.0327,0.407,0.388,0.8558,-0.0158,0.0459,0,0.0459,phT,,,
k0,3.68,0.0315,0.451,0.406,1.2516,-0.1314,0.0588,0,0.0588,phT,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
