,ReH,ReE,ReHT,index,replica,set
2,0.40217588171412155,5.8516579185218855,-1.7807793289431837,2,40,85
3,0.4021755149054522,5.851657436825114,-1.7807775190855102,3,40,85
0,1.6191259029619207,-1.7728535266266312,-4.987138350043181,0,41,85
1,1.6191207270618904,-1.7728621762325956,-4.987137258973489,1,41,85
2,1.6191241815751634,-1.7728564040388117,-4.987137987527601,2,41,85
3,1.6191242902878507,-1.7728562225471776,-4.987138010528958,3,41,85
0,0.8078558577365424,0.9672326857016766,5.3532864012662404,0,42,85
1,0.8080899818767722,0.967195384464217,5.35337973022932,1,42,85
2,0.8080727713146222,0.9671981264895797,5.353372869580031,2,42,85
3,0.8080566187400773,0.9672006999610998,5.353366430675633,3,42,85
0,1.5753837803163062,-1.9988664250197425,-2.9934831209227113,0,43,85
1,1.5753763561563963,-1.998879262194611,-2.9934876835456974,1,43,85
2,1.5753698369007494,-1.998890534698101,-2.9934916900511688,2,43,85
3,1.5754566562379404,-1.9987404146457268,-2.9934383339743134,3,43,85
0,0.7593474147786119,3.2963340830270083,-1.6844932273759339,0,44,85
1,0.7593469707972756,3.2963346627942087,-1.6844931190544439,1,44,85
2,0.7593478918598935,3.296333460030788,-1.6844933438382343,2,44,85
3,0.7593443658097004,3.296338064468097,-1.6844924832827506,3,44,85
0,0.7173329315515423,2.663179960009506,2.41435879263285,0,45,85
1,0.7173767807780731,2.663083094243401,2.4142424487448535,1,45,85
2,0.7173294869477775,2.6631875693761984,2.414367932113125,2,45,85
3,0.7173258568821261,2.6631955884306544,2.414377563664835,3,45,85
0,1.0844281320888087,2.0029961666175837,-4.755079066296085,0,46,85
1,1.0844223877925367,2.002956696010418,-4.755083953743032,1,46,85
2,1.0844230305928555,2.002961112873324,-4.755083406827174,2,46,85
3,1.0844232155295321,2.00296238365587,-4.75508324946879,3,46,85
0,1.5476913741552067,-2.7767744562438965,-0.14144918106505663,0,47,85
1,1.5476524287370497,-2.7767099653038105,-0.1413768897994434,1,47,85
2,1.5476729186176423,-2.776743895143925,-0.14141492352931856,2,47,85
3,1.5479316444246596,-2.7771723273879774,-0.141895175598649,3,47,85
0,1.1713501956369439,-0.4303671615964395,1.295909269421888,0,48,85
1,1.17120073902746,-0.4303596497971587,1.295769632014653,1,48,85
2,1.1713755379701865,-0.43036843532243824,1.295932946780034,2,48,85
3,1.171362619286553,-0.4303677860154663,1.295920876845292,3,48,85
0,1.2547750393426815,-1.969186831112072,4.455684560079,0,49,85
1,1.2547745139882287,-1.9691877785807246,4.45568360672685,1,49,85
2,1.2547755596070476,-1.9691858928263857,4.455685504178575,2,49,85
3,1.2547678921310705,-1.969199721130245,4.455671590123893,3,49,85
0,1.4705670914627977,3.6945356222479044,0.0565664711399019,0,50,85
1,1.4678847921287268,3.708898168060548,0.0669200135534389,1,50,85
2,1.4707766528507098,3.6934135122090734,0.05575757458144728,2,50,85
3,1.470372716123813,3.6955764176158157,0.0573167503123147,3,50,85
0,-1.312453839857009,-3.868071136686427,5.497949259328376,0,51,85
1,-1.309542109524493,-3.8733204438554703,5.498816481778185,1,51,85
2,-1.312681326130309,-3.867661021329293,5.497881505388246,2,51,85
3,-1.3122428385898879,-3.8684515326487605,5.498012103415968,3,51,85
0,1.9726660550818425,-5.605703253093742,-0.2775422376787231,0,52,85
1,1.9725632867783989,-5.605652145956247,-0.27760852421683524,1,52,85
2,1.9726583709233694,-5.605699431734265,-0.2775471940348043,2,52,85
3,1.972650596691306,-5.605695565570249,-0.27755220848893014,3,52,85
0,0.6646304634104218,2.0762532587680145,5.046708749207326,0,53,85
1,0.664778168738994,2.076257589317951,5.04672134885117,1,53,85
2,0.6647913206652969,2.076257974916663,5.046722470740111,2,53,85
3,0.6648043221890839,2.0762583561087222,5.046723579807336,3,53,85
0,1.6621521771718113,-2.0913042947274976,-5.3271055787883785,0,54,85
1,1.6624908643157936,-2.0915883588432758,-5.3272192028979735,1,54,85
2,1.662103788207418,-2.0912637098741973,-5.327089345062438,2,54,85
3,1.6621248046753996,-2.091281336835607,-5.327096395751401,3,54,85
0,1.3010309480126887,0.04923963105585305,-3.760962955425647,0,55,85
1,1.3010489793771747,0.049206369635602744,-3.760955462728278,1,55,85
2,1.3010647197206997,0.049177334329512656,-3.7609489220345234,2,55,85
3,1.3012733301123651,0.04879252273346302,-3.7608622366912403,3,55,85
0,1.0333192942304972,0.7667676797410639,0.5250307851365357,0,56,85
1,1.033320872689488,0.7667719425021695,0.525024391079743,1,56,85
2,1.0333194388732867,0.7667680703860227,0.5250301991750439,2,56,85
3,1.0333191658582868,0.7667673330715308,0.5250313051110447,3,56,85
0,0.35890889764337686,6.857161859797017,-4.660140807161916,0,57,85
1,0.35877904473390454,6.856551793793926,-4.659217682331281,1,57,85
