,set,replica,ReH,ReE,ReHT
7447,76.0,47.0,1.4611823791213017,-4.3061911180411645,1.805138343397347
7448,76.0,48.0,0.748144174503983,3.844600443550997,0.27632485519456707
7449,76.0,49.0,7.068500531181286,-5.306376137134036,-9.5183256375386
7450,76.0,50.0,0.8849057510706921,0.8389584973723443,2.7402431261221563
7451,76.0,51.0,1.4404709802234912,-2.7272519909358173,0.1111931044852203
7452,76.0,52.0,1.7803911155581307,-5.636060178032318,-2.355114313318874
7453,76.0,53.0,1.06528868428471,-1.111571502547629,3.0537033796866666
7454,76.0,54.0,-1.2856004367889027,-7.5310351562994775,-9.652964462915646
7455,76.0,55.0,1.3027837827915516,1.0381637552193386,-0.033619257050721725
7456,76.0,56.0,1.1015603243912853,0.14373343014416012,-0.05409220378641667
7457,76.0,57.0,1.155696482028745,-1.0512282812548184,1.4937725500350199
7458,76.0,58.0,1.457510949791847,0.2492164724596904,-5.817898110242954
7459,76.0,59.0,1.363654946382127,-2.516083373017085,0.5207368764116096
7460,76.0,60.0,-4.884285270752988,8.590252534775882,1.6889587134565873
7461,76.0,61.0,1.075866979265539,-1.6746880873238248,3.8073715565045374
7462,76.0,62.0,0.4163368812623207,5.207790938319093,2.8407151179911123
7463,76.0,63.0,0.6902403274081013,3.4757318294250226,1.4377044269638897
7464,76.0,64.0,1.698706206592512,-5.1225644658179945,0.0165626348485835
7465,76.0,65.0,1.813469545001069,-3.2870862354909542,5.177300241094784
7466,76.0,66.0,0.511950424710228,6.142703270598732,0.38012360300732034
7467,76.0,67.0,0.6731015997999659,2.5787700229848585,3.6558207287372326
7468,76.0,68.0,1.0360676051524877,2.241475474913364,-1.866577927944367
7469,76.0,69.0,1.0437766544149099,-0.2900027374064603,2.112002062942418
7470,76.0,70.0,4.194423821107085,6.310032647791057,7.340532300028984
7471,76.0,71.0,0.8864635164863635,1.096992352852255,2.3920211519616865
7472,76.0,72.0,1.274963268763811,-3.3654972269186088,2.0564989440426458
7473,76.0,73.0,1.1389830540526102,-2.4137389129085944,3.910406136960337
7474,76.0,74.0,1.1030958246704463,-1.5903978810773616,3.1391075259666894
7475,76.0,75.0,1.066283004748238,-0.28504697640725846,1.7133359939604422
7476,76.0,76.0,1.2050350636359255,-1.546184329204432,1.5073162320754117
7477,76.0,77.0,0.9733427086008146,0.9453926634595845,1.3217783416075828
7478,76.0,78.0,0.8854450151933195,1.4653398749962865,1.8171640910925995
7479,76.0,79.0,1.310883391150044,1.9770634359877066,-5.426816195198589
7480,76.0,80.0,1.752397689950687,-8.21218393055124,2.839471561010496
7481,76.0,81.0,0.7032768298427097,5.614637799686254,-2.006297270086077
7482,76.0,82.0,0.7805539275534441,3.5102942451321772,0.546839595450487
7483,76.0,83.0,2.578965864001388,1.2865855578529646,-5.17169319892457
7484,76.0,84.0,0.8363979295457309,2.272265812230369,1.4000622430368808
7485,76.0,85.0,0.7081138107315631,1.4200785006644874,4.771080855341377
7486,76.0,86.0,0.9876161573575778,0.061483640649250375,2.432482907360833
7487,76.0,87.0,0.8375842758521692,-0.9318989942777967,5.7030036741846
7488,76.0,88.0,0.7842030998102278,1.134458378556454,4.365797993545757
7489,76.0,89.0,1.9723210917483172,-4.169174132258435,-5.319116565262204
7490,76.0,90.0,1.1801941876583277,2.5473471995211336,-4.555289307632812
7491,76.0,91.0,-0.05324571148475425,6.011524027166986,-1.8372472030811484
7492,76.0,92.0,0.4573771975055751,2.684473198461702,7.363776380172548
7493,76.0,93.0,1.64114911625677,-5.26095193191208,-0.5640139591267639
7494,76.0,94.0,1.1322045439445314,-0.5927069787057774,1.3143244474602325
7495,76.0,95.0,3.237280780777218,5.46940382824798,-9.93849465690935
7496,76.0,96.0,0.5317280605482777,4.667972502230603,2.0651121981833973
7497,76.0,97.0,-3.0085344150962365,3.6067291699627164,-5.4586341351935275
7498,76.0,98.0,0.5368450998960109,4.930996598201142,2.1525089796219348
7499,76.0,99.0,0.6818113433730508,3.646318720542054,2.460618023784145
7500,77.0,0.0,0.8394094924986727,6.347499552541292,-2.146611813780985
7501,77.0,1.0,0.7737832222082734,0.6065350743003581,0.2904263855379179
7502,77.0,2.0,0.8356741940509453,1.6000356741689261,1.849612012225042
7503,77.0,3.0,0.8316081558021452,4.684485754152019,0.5708582676723991
7504,77.0,4.0,0.9552950478345191,-5.0912342757925675,-0.39120944416939274
7505,77.0,5.0,1.0351314260738056,-0.06935238098271118,-4.509623889795263
7506,77.0,6.0,1.1589544266715364,-2.68375533221356,-4.625380429090466
7507,77.0,7.0,0.7046368435923572,0.9566939601394997,7.147997986754066
7508,77.0,8.0,0.7878923449473105,-0.9471365232491964,4.721683195631808
7509,77.0,9.0,1.5987079353583773,-0.24096085374329,9.265229441409026
7510,77.0,10.0,0.9333746204715881,3.6999381825581663,-3.5894469924699792
7511,77.0,11.0,0.8325651356334173,-0.5084815285072977,3.494416076451358
7512,77.0,12.0,0.7774386630213892,3.438533639931352,2.3873102723941426
7513,77.0,13.0,0.762495645490526,1.8488059317586405,3.0612918085415686
7514,77.0,14.0,0.8993412227632566,2.404161169948355,-1.3528131971435609
7515,77.0,15.0,0.8352298959798645,-2.8731362423401032,4.98235141196086
7516,77.0,16.0,0.8305554756992335,3.0499750042645655,0.6776866214249089
7517,77.0,17.0,0.9264199654352601,-2.783468150713501,1.740040543181254
7518,77.0,18.0,0.9624975784685631,0.5976688661274272,-1.5115631323312693
7519,77.0,19.0,-0.2280362887705708,-4.125224869553922,1.0267816962261103
7520,77.0,20.0,0.9767952069172336,-1.4904994468605213,-0.42729933210413923
7521,77.0,21.0,1.1402672847983502,-6.000519449378982,-4.528411191016692
7522,77.0,22.0,0.8733325148070099,-1.3393569867812762,2.988377347657718
7523,77.0,23.0,1.09631270934949,-4.529902827353402,-1.5999562237365677
7524,77.0,24.0,0.7516727094955432,2.7369634869240143,2.4205144470356963
7525,77.0,25.0,0.8691103817054961,0.9436693521390367,0.8662042045703305
7526,77.0,26.0,0.8103158873801636,1.8627722686750985,1.1615401357927366
7527,77.0,27.0,0.5959255218792441,4.105156458498529,6.873676305272094
7528,77.0,28.0,0.7945475084023826,7.436857703284797,-1.236790472034762
7529,77.0,29.0,-0.1543472949124609,-6.9143022459326415,9.421795947907574
7530,77.0,30.0,0.9283337685539294,-0.32418662647552854,-0.16155971767296962
7531,77.0,31.0,0.8921252171193792,-4.782863941423385,4.494718029425411
7532,77.0,32.0,0.8009479906992836,0.062419512228108376,4.316241442574645
7533,77.0,33.0,0.975896391336992,1.1870820373742612,-3.0342124725024098
7534,77.0,34.0,0.9594261958596236,0.4143320086448446,-2.0787276500240317
7535,77.0,35.0,0.7787080431424349,2.8412288931523166,1.889077327653455
7536,77.0,36.0,0.976653455018261,2.3640277988866294,-3.301718124252879
7537,77.0,37.0,0.9290162428549337,0.7206809847723259,-0.7654279723347734
7538,77.0,38.0,1.1532044271071642,-1.230683521353937,-7.10640926751966
7539,77.0,39.0,1.0793343903298611,-2.858233175494909,-2.9796851688767614
7540,77.0,40.0,1.0703378604672449,1.2825512458819779,-5.226335082386938
7541,77.0,41.0,0.9047371899013437,3.1608505719074698,-2.206105140604779
7542,77.0,42.0,1.0207253808972647,0.46628882727787,-3.198754910308205
7543,77.0,43.0,1.0354956833296503,-3.290017391475253,-3.696444347345827
7544,77.0,44.0,0.8852161861833571,-0.9335587763512561,1.4977646871962678
7545,77.0,45.0,0.7714628968013513,2.1862739554311776,3.8219299926293298
7546,77.0,46.0,1.0103567418743231,-3.229968539135958,-1.3814356949500104
7547,77.0,47.0,0.9829213633168152,-2.6329046341682036,-0.6384603250829508
7548,77.0,48.0,0.7990714201683569,7.302965850143165,4.9251191232814335
7549,77.0,49.0,0.9864130933458781,3.5274048627048082,-3.5791722079726327
7550,77.0,50.0,0.9979246643270996,-1.3180941467435647,-2.4306539250901826
