,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
7020,156,0.215746549,0.032446895,-2.350054222,11.18447836,2.76397202,5.606083062
7065,157,0.497994813,0.413028207,4.096728097,24.49385892,0.080787541,13.61667932
7110,158,1.336696084,0.647169142,-0.786867621,13.74934241,3.117182746,9.704101222
7155,159,1.113805072,0.109999872,-3.919816959,17.66527455,5.403848177,15.03798831
7200,160,1.213061419,1.19236973,-2.127276663,10.90235324,4.016703614,5.923251278
7245,161,1.411343287,0.78931373,-0.74088774,19.57540419,4.864212196,14.50336767
7290,162,0.66192688,0.971930927,-0.538884076,9.652179937,4.149480071,4.190793677
7335,163,0.421979361,0.731624031,-1.151025329,8.562417236,2.887036091,2.509125056
7380,164,1.588229718,1.024717239,-4.334182337,11.01730313,5.049468432,6.4360175
7425,165,1.524132204,0.952384482,-8.427101743,39.82096894,9.128889424,37.19834483
7470,166,1.399766208,1.315807281,-1.956242481,14.02568895,4.561837178,8.342821638
7515,167,1.020418684,0.878001095,-3.386033355,11.53963713,3.840337637,5.935256761
7560,168,1.354533172,0.928345177,-8.486451423,26.66006106,7.455888869,15.58227233
7605,169,1.729509519,0.499338532,-5.022224124,18.34320089,6.227785357,14.46937576
7650,170,1.036276827,1.370065648,-3.123502186,12.33874645,3.872283244,4.874867065
7695,171,0.647475358,3.143120846,0.877444277,20.09882301,3.337396363,5.439530366
7740,172,1.212265841,1.508918188,-1.891851438,12.67457508,2.497642969,6.216937963
7785,173,1.207493942,0.418154418,-6.022938936,39.94619136,7.156527061,29.1213911
7830,174,1.429475787,1.985572907,-2.415091961,20.15911069,4.196202815,10.15243799
7875,175,0.268242933,0.308306137,-2.663956792,7.496089483,2.230106019,2.124634452
7920,176,0.619646783,0.916288844,-0.481368657,9.013663305,2.819525902,3.665138875
7965,177,0.632993403,0.356995947,-0.709465215,7.7772474,2.521435218,4.495074863
8010,178,1.365324991,1.093695896,-3.30521115,12.00805631,4.504588755,6.335796349
8055,179,294.2209047,882.2373389,3591.531268,10832.42921,-1523.697967,4554.182422
8100,180,0.8937545,2.431996133,2.16616315,21.72673633,2.198459775,9.492419595
8145,181,0.69560137,0.88088823,-2.858871375,8.820779249,3.255470754,2.796071164
8190,182,0.309455377,0.131472686,-2.149934134,7.350606225,2.317251482,3.738588027
8235,183,0.34732039,3.15582449,1.818785748,21.55471145,2.400282884,4.61309058
8280,184,1.34547561,0.67162374,-2.177622817,9.660716424,3.569478058,6.431536042
8325,185,1.6958102,2.227153739,-3.936124604,17.65536139,4.464787435,7.734556708
8370,186,0.847535063,0.535945299,-3.627841,9.016486157,3.403364863,5.261584672
