#Set,index,k,QQ,x_b,t,F1,F2,phi_x,F,sigmaF
6,14,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,140,0.0451968,0.00225984
6,15,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,150,0.0426211,0.00213105
6,16,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,160,0.04653,0.0023265
6,17,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,170,0.0440051,0.00220025
6,18,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,180,0.0465951,0.00232975
6,19,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,190,0.0438944,0.00219472
6,20,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,200,0.0462689,0.00231344
6,21,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,210,0.0429035,0.00214517
6,22,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,220,0.0449015,0.00224507
6,23,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,230,0.0415783,0.00207892
6,24,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,240,0.0411626,0.00205813
6,25,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,250,0.042666,0.0021333
6,26,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,260,0.0396034,0.00198017
6,27,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,270,0.0405847,0.00202923
6,28,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,280,0.0345049,0.00172525
6,29,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,290,0.0323975,0.00161988
6,30,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,300,0.029423,0.00147115
6,31,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,310,0.0244802,0.00122401
6,32,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,320,0.0179025,0.000895126
6,33,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,330,0.0135853,0.000679265
6,34,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,340,0.00907543,0.000453772
6,35,5.75,1.72395,0.355194,-0.2715,0.574347,0.863101,350,0.00567318,0.000283659
7,0,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,0,0.0452278,0.00226139
7,1,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,10,0.045553,0.00227765
7,2,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,20,0.0419822,0.00209911
7,3,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,30,0.0456729,0.00228365
7,4,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,40,0.0406462,0.00203231
7,5,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,50,0.039597,0.00197985
7,6,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,60,0.0421567,0.00210783
7,7,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,70,0.0411442,0.00205721
7,8,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,80,0.0371099,0.0018555
7,9,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,90,0.038864,0.0019432
7,10,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,100,0.0346701,0.00173351
7,11,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,110,0.0366458,0.00183229
7,12,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,120,0.0353751,0.00176875
7,13,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,130,0.0323143,0.00161572
7,14,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,140,0.0311038,0.00155519
7,15,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,150,0.0337791,0.00168895
7,16,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,160,0.0300086,0.00150043
7,17,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,170,0.0308052,0.00154026
7,18,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,180,0.0293662,0.00146831
7,19,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,190,0.0322592,0.00161296
7,20,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,200,0.0340569,0.00170284
7,21,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,210,0.0346151,0.00173075
7,22,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,220,0.0361412,0.00180706
7,23,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,230,0.0344484,0.00172242
7,24,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,240,0.0340141,0.00170071
7,25,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,250,0.0337563,0.00168782
7,26,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,260,0.0396209,0.00198104
7,27,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,270,0.0382588,0.00191294
7,28,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,280,0.0404705,0.00202353
7,29,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,290,0.0417865,0.00208933
7,30,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,300,0.042043,0.00210215
7,31,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,310,0.0430091,0.00215046
7,32,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,320,0.0463987,0.00231993
7,33,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,330,0.0464136,0.00232068
7,34,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,340,0.0421042,0.00210521
7,35,5.75,1.95045,0.334505,-0.309259,0.540863,0.794615,350,0.0456565,0.00228282
8,0,5.75,2.12776,0.359331,-0.327916,0.525553,0.763756,0,0.0132698,0.000663492
8,1,5.75,2.12776,0.359331,-0.327916,0.525553,0.763756,10,0.0158054,0.000790271
