,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
89,89,1.6507831733980314,0.6154510526846936,-3.9844083389663565,36.371841798436314,4.751108583097963,33.64378020309061
90,90,1.4767124113177372,2.3311953650115127,-7.791010209144171,29.217199706716826,6.02652965885803,11.581195215889178
91,91,1.557190805321208,1.4843422942558726,-3.345494807996261,18.701231306412662,4.598151740408396,11.29916174151074
92,92,1.0628404742000566,0.6979067609739036,-1.933874093104817,12.475226175339843,4.084424254878241,8.46312119865634
93,93,0.7714294902120076,0.13858924172511558,-14.844920097666273,38.34373503744628,10.27450451292776,22.82300798145129
94,94,0.551599698983458,0.9356669985068155,-1.1179229358496636,10.133642456062585,2.2809221995119904,3.5528715751939774
95,95,0.35287218692917716,0.17475301056570694,-3.0895189195250237,10.845988099995486,2.897763320990319,5.475408845883855
96,96,1.4522095446048584,1.7732511494406553,-2.4560440132316703,16.400066278103388,4.9432219724751985,8.461983055203433
97,97,0.6317954822394519,5.166360446574255,-3.861574264773951,50.77521945373055,2.717182366621815,7.156447963827711
98,98,1.2612761796449934,1.2130514759911848,-6.104985945955292,14.026686272071572,5.094849529363689,6.394113082238778
99,99,3.990471427359213,10.23917405397886,-18.924895149594914,66.6698669514068,7.083465038450808,13.691181527791091
