hadron,Q2,y,phT,x,z,Siv,stat,sys,tot_err,1D_dependence,COMPASS,p,2015
k+,2.45,0.33,0.57,0.0255,0.433,0.0147,0.0133,0,0.0133,x,,,
k+,3.56,0.3,0.57,0.0399,0.458,0.0407,0.0151,0,0.0151,x,,,
k+,5.48,0.29,0.57,0.0629,0.463,0.0474,0.0172,0,0.0172,x,,,
k+,8.54,0.29,0.57,0.1009,0.468,0.0724,0.0203,0,0.0203,x,,,
k+,13.6,0.28,0.57,0.1623,0.473,0.0751,0.0261,0,0.0261,x,,,
k+,26.24,0.29,0.61,0.2959,0.468,0.0521,0.0319,0,0.0319,x,,,
k+,4.15,0.34,0.15,0.0455,0.41,0.027,0.0199,0,0.0199,phT,,,
k+,4.26,0.35,0.25,0.0467,0.405,0.0223,0.0171,0,0.0171,phT,,,
k+,4.24,0.36,0.35,0.0465,0.404,0.038,0.016,0,0.016,phT,,,
k+,4.21,0.36,0.45,0.0463,0.408,0.0266,0.0161,0,0.0161,phT,,,
k+,4.19,0.36,0.55,0.046,0.415,0.0392,0.0168,0,0.0168,phT,,,
k+,4.16,0.36,0.67,0.0459,0.425,0.026,0.0155,0,0.0155,phT,,,
k+,4.18,0.36,0.82,0.046,0.437,0.0401,0.0188,0,0.0188,phT,,,
k+,4.3,0.37,1.06,0.046,0.448,0.0266,0.0174,0,0.0174,phT,,,
k+,4.81,0.41,1.59,0.0459,0.438,0.0311,0.0312,0,0.0312,phT,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
