#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
-1.75844,0.965289,-5.30925,1.78707,0.265358,1.79076,0.00426518,0.000248134
0.553305,1.00304,-17.8216,29.4795,-0.498139,1.18099,-0.000231662,0.00167507
-1.36892,0.288378,-0.346157,2.50937,0.0687109,0.514407,0.0102319,0.00104393
-1.59319,0.297751,-2.68007,1.73377,0.499481,0.497117,0.0102364,0.000805277
-1.32581,0.275681,-5.91022,1.70548,0.904806,0.804632,0.0111456,0.0010437
-1.54064,0.239015,-5.20649,1.02953,0.691468,0.498179,0.00767345,0.000528522
-0.11817,0.575961,-3.10115,14.211,-0.390523,1.82456,-0.00206046,0.00363316
-1.87209,0.598535,0.0334183,2.76924,-0.00253445,0.546242,0.0068207,0.000800902
-2.46521,0.617823,-1.65553,1.75593,0.338155,0.583469,0.00447375,0.000638597
-1.8842,0.62075,-2.02489,1.10604,0.348777,0.634051,0.004641,0.000509218
-1.81442,0.65334,-3.04968,0.667143,0.589111,0.832423,0.00372818,0.000453888
-1.51557,0.215384,5.33179,3.80687,-1.20812,0.65557,0.0104452,0.00134654
-1.49907,0.243134,-1.6202,2.00913,0.337151,0.505715,0.00919629,0.000776794
-1.71772,0.234181,-5.73982,1.43635,1.0433,0.598853,0.00971822,0.000704083
-1.30925,0.200265,-5.51748,1.03828,0.822951,0.614321,0.00704959,0.000597909
-1.42126,0.448492,2.89806,5.23362,-0.652226,0.857237,0.00461451,0.00108836
-1.60782,0.48022,-0.174114,1.84962,0.0366297,0.432881,0.00413187,0.000450772
-2.10471,0.480511,-1.16582,1.13223,0.215205,0.407906,0.00378658,0.000325301
-1.62676,0.470401,-1.5806,0.721877,0.263629,0.45087,0.00362394,0.000248348
0.364927,0.22154,-27.7423,25.7514,1.29901,1.02409,0.00176534,0.000709041
-2.11117,0.219756,5.48084,3.47863,-1.35633,0.568065,0.00829408,0.00111395
-1.41441,0.240674,-4.35258,1.59688,0.942006,0.753791,0.00595757,0.00082935
-1.14154,0.195013,-5.13885,1.03418,0.926815,0.773823,0.00653186,0.000667694
-1.69024,0.368208,19.4839,19.4982,-4.89757,1.32579,0.00617186,0.00336811
-1.65173,0.371966,2.42209,3.52542,-0.609377,0.657441,0.00346778,0.00062996
-1.4768,0.370911,-0.262411,1.22545,0.0541778,0.33275,0.00307507,0.000239643
-1.60046,0.354583,-1.20615,0.687937,0.263625,0.319983,0.00249429,0.000159247
-1.0177,0.179048,11.4699,8.47085,-3.57296,0.774115,0.00548856,0.00192497
-1.12151,0.231671,3.4063,3.40044,-0.997961,0.561679,0.00349589,0.000671184
-1.25395,0.186628,-1.07466,1.09529,0.297596,0.379204,0.00303724,0.00022699
0.404401,0.391749,-2.11074,8.57339,0.624567,0.95669,0.000672933,0.000381585
-1.11549,0.323468,2.45596,3.32446,-0.732969,0.617454,0.00195694,0.000408281
-1.6684,0.285382,0.509762,1.48358,-0.14746,0.405135,0.00167719,0.000169589
-1.6305,0.171721,2.11141,1.73065,-0.51053,0.419772,0.0454537,0.00179047
-1.81882,0.19195,-1.36746,1.25126,0.319255,0.307368,0.0422195,0.00116106
-1.72867,0.196342,-2.31182,0.989749,0.506346,0.276492,0.0364751,0.000892209
-1.70573,0.139541,2.04863,1.22772,-0.491442,0.296367,0.0291558,0.000944671
-1.77253,0.155431,-0.817784,0.8721,0.183375,0.210907,0.0271054,0.000605493
-1.95565,0.154472,-1.95907,0.671096,0.413233,0.188087,0.0229008,0.000468004
-1.58986,0.161822,-2.095,0.587878,0.433221,0.190563,0.0214809,0.000399646
-1.85673,0.161332,2.05616,1.40239,-0.477015,0.319875,0.0191994,0.000796952
-1.65853,0.189702,-0.555875,0.90404,0.126716,0.216133,0.0167994,0.000487868
-2.04464,0.189186,-1.7025,0.710323,0.354687,0.203802,0.0153527,0.000391479
-1.57605,0.198585,-1.57992,0.604838,0.306604,0.202523,0.0147158,0.000335831
-1.6088,0.337581,0.99449,2.30063,-0.225675,0.505649,0.0358915,0.00330268
-1.56684,0.407159,-0.366366,1.47492,0.0697587,0.348859,0.0340848,0.00202815
-1.12462,0.681047,-0.418837,1.21462,0.0891457,0.366204,0.032668,0.00191831
-1.56589,0.184281,1.191,1.46345,-0.271523,0.333336,0.0260746,0.00124717
-1.78276,0.215074,-0.505495,0.933633,0.107766,0.221511,0.0237749,0.000773164
-1.93338,0.222548,-1.30222,0.723731,0.273706,0.206663,0.0215617,0.000616013
-1.96678,0.222672,-1.8325,0.591186,0.383588,0.206236,0.0185318,0.000502922
-1.57039,0.253296,1.1321,1.76224,-0.257408,0.372635,0.01552,0.00112184
-1.98067,0.35179,-0.964044,0.86068,0.206577,0.260235,0.0128535,0.000602568
