#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
0.0260785,0.740031,0.169554,4.73384,0.0352271,1.48476,0.0120532,0.00397609
0.670581,1.16598,2.70304,5.19994,-0.457296,2.51626,0.0165609,0.00332709
0.707987,1.40993,19.7171,40.932,2.4668,5.01494,-0.0398929,0.0392965
2.60296,2.63902,4.07473,22.722,-0.58575,5.08345,0.0060963,0.0104799
2.83936,2.70851,5.37012,8.90819,-0.83998,3.90869,0.0159605,0.00606163
4.88493,3.11855,10.8728,5.74304,-1.43052,4.54585,0.0305215,0.00558611
4.06477,3.13909,12.1386,5.57174,-1.75024,5.80666,0.0266287,0.00537275
9.06095,4.19525,31.1612,10.5532,-3.60087,9.4788,0.0366122,0.00692556
7.19665,10.0707,-314.117,471.744,0.0185163,10.7332,0.0136659,0.0262246
-2.12876,3.25701,0.872398,44.9364,-0.118336,6.78029,0.0249913,0.0288215
-0.319867,1.1712,-0.625261,8.64373,0.0887447,2.36858,0.00682128,0.00529795
-0.0743398,0.648571,-0.635707,5.84186,-0.137789,1.63037,0.00419029,0.00420223
-0.462143,0.758021,-2.17214,3.89829,0.212204,2.47898,0.00804067,0.00356521
-0.394225,0.821839,-1.59746,3.55713,0.0703883,2.22003,0.0151026,0.00271635
-0.824522,10.815,-42.1529,473.618,-3.6044,43.2725,-0.0154899,0.078118
0.231246,1.24999,4.76895,26.28,0.738531,4.05265,0.00613482,0.0108827
1.18812,2.21829,1.08949,9.97206,-0.195752,2.76425,0.00326984,0.00409326
2.90151,2.34199,3.34403,6.54725,-0.410955,2.59396,0.0105997,0.00310147
2.6281,2.38283,6.09807,4.43948,-1.26456,3.78762,0.0113822,0.00289068
3.4221,2.93375,9.20564,5.91183,-1.73649,5.2154,0.0142575,0.00312597
0.44113,1.68249,13.3673,56.452,1.74629,7.00869,0.0106804,0.0128498
0.014021,0.748197,0.17647,10.9175,0.0220629,2.12048,-0.00316388,0.00588608
-0.66278,1.21379,-2.43677,7.09484,0.355703,3.65183,0.00957218,0.00580453
-0.470997,0.820578,-2.45904,4.88405,0.455084,3.30395,0.0104454,0.00418302
-1.17463,0.622391,-5.32654,2.84679,0.542633,2.50214,0.00825616,0.00271096
-19.0765,4.19885,-455.69,100.531,-59.1979,13.0391,0.381762,0.319136
-0.782763,1.95145,-0.426504,13.174,0.000438122,2.79498,0.00241169,0.00418499
0.749655,1.7421,0.594842,6.08544,-0.116527,1.94493,0.00317616,0.00208746
1.77028,1.67383,3.18138,4.0717,-0.70269,2.51342,0.00654351,0.00178254
1.93838,1.96034,3.70353,3.49809,-0.723191,2.79857,0.00606843,0.00150881
-3.74497,1.64704,17.5425,38.1759,-3.92102,3.3261,0.0155709,0.0134509
-0.958825,1.33892,-2.52053,8.79075,0.652688,3.94358,0.00500062,0.00603091
-0.794593,1.05774,-3.34971,5.29528,0.570788,3.71742,0.00803571,0.00430637
-0.00820596,0.444962,-0.0518117,2.78738,-0.0437693,1.55442,0.00179663,0.00255788
-1.0389,2.15991,3.13459,32.9485,-0.70024,3.90251,0.00128726,0.00676907
