Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev,time
97,10.000000,3.608570,0.415497,-0.485913,1.460471,1.726216,-2.356057,16.065718,4.519602,8.348964,26.286
98,10.000000,1.457180,0.164651,-0.258194,0.723748,4.815510,-5.256936,47.262207,2.674529,6.618448,45.482
99,10.000000,3.239990,0.364715,-0.373272,1.217256,1.151671,-5.902541,13.403621,4.797716,6.092383,31.192
100,10.000000,2.812830,0.253983,-0.477616,4.392002,9.791415,-21.642979,63.720161,7.318272,13.056559,88.775
1,2.750000,1.515760,0.369204,-0.306885,0.585108,0.569861,-0.687075,28.577565,2.907779,1.141421,19.390
1,2.750000,1.515760,0.369204,-0.306885,0.575572,0.541001,1.264214,23.457250,2.949102,1.137199,16.962
1,2.750000,1.515760,0.369204,-0.306885,0.477226,0.593815,0.496995,27.572645,2.856300,1.258929,18.427






REPLICA_SIZE_OVER_NUM_INDEXES = 10:
1,2.750000,1.515760,0.369204,-0.306885,0.560121,0.211479,-0.198393,8.578420,2.947117,0.465442,24.722
2,2.750000,1.867290,0.527413,-0.437447,1.242760,0.191931,1.367072,5.118809,4.294704,1.108060,34.572
3,2.750000,1.188990,0.580204,-0.479462,1.824514,1.674184,-2.578190,15.115790,4.217987,9.356328,28.486
4,2.750000,1.444090,0.463857,-0.483145,1.656441,1.155259,-1.705714,12.364806,4.347516,3.740290,28.550
5,2.750000,1.615250,0.599496,-0.491783,1.919011,0.065640,0.872065,0.554113,1.033274,0.778701,14.197
6,2.750000,1.812020,0.384596,-0.443662,0.999410,0.332589,2.833118,19.594240,3.634986,4.857565,32.034
7,2.750000,1.855370,0.572306,-0.461333,1.391431,0.071767,1.354153,0.819171,1.969303,0.578389,14.653
8,2.750000,1.117980,0.283371,-0.498293,0.631113,1.561197,2.566821,12.152481,4.318616,0.911728,28.197
9,2.750000,1.783840,0.492262,-0.461759,1.458667,0.265847,-3.867456,6.005637,3.830256,1.119936,29.155
10,2.750000,1.664470,0.452008,-0.422538,1.461669,0.205832,-1.456330,4.680055,2.759802,0.803364,23.419
11,2.750000,1.191470,0.393982,-0.440906,0.184992,2.357112,6.867359,21.726586,1.821607,5.641245,32.637
12,2.750000,2.039650,0.547977,-0.449074,1.595973,0.161602,2.338030,4.529301,4.125300,0.706457,24.871
13,2.750000,1.686910,0.503554,-0.383757,1.171008,0.086814,1.520515,2.146783,2.447325,0.635690,19.544
14,2.750000,1.554800,0.474670,-0.469742,1.801458,0.532924,-4.134562,7.235088,3.985194,2.074393,25.402
15,2.750000,1.605390,0.494002,-0.454349,1.571591,0.446100,-2.398172,6.898666,3.492686,2.086221,26.159
16,2.750000,1.370860,0.416852,-0.455687,1.853214,1.009154,-8.547147,11.128500,5.103002,2.741861,30.624
17,2.750000,1.628280,0.433084,-0.354941,0.899345,0.157955,1.553942,4.964133,2.273073,0.713757,20.806
18,2.750000,1.349210,0.609671,-0.496856,1.786419,1.645511,1.216423,17.679585,5.618732,12.076652,30.352
19,2.750000,1.665580,0.457363,-0.385021,0.904757,0.154314,-0.015091,4.410275,3.104546,0.855401,27.039
20,2.750000,1.014840,0.410423,-0.232699,0.487321,0.096390,0.825548,2.367131,2.073757,1.074755,19.653
21,2.750000,1.548800,0.416308,-0.488016,1.203740,0.476032,-1.758792,6.427121,4.477269,0.976255,23.513
22,2.750000,1.515440,0.313819,-0.448103,0.302655,2.245530,3.527839,29.853527,2.775905,4.820951,35.112
23,2.750000,1.075250,0.456711,-0.290708,0.674514,0.177794,2.036386,3.206740,3.048631,1.622691,26.171
24,2.750000,1.805680,0.447482,-0.454667,1.568448,0.175003,-3.065511,5.509194,3.413743,0.333896,21.354
25,2.750000,1.013320,0.423223,-0.238837,0.497220,0.053413,1.209030,1.243970,1.906419,0.583087,16.562
26,2.750000,1.731350,0.470845,-0.390857,1.073736,0.169085,0.323920,5.534386,2.921453,0.941534,25.897
27,2.750000,1.472720,0.455851,-0.296889,0.841623,0.078850,2.222903,2.127672,2.106041,0.718864,17.700
