#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
2,34,2.75,1.86729,0.527413,-0.437447,280,0.065985,0.00329925,0.05,0.44888,0.614178
2,35,2.75,1.86729,0.527413,-0.437447,288,0.0705549,0.00352774,0.05,0.44888,0.614178
2,36,2.75,1.86729,0.527413,-0.437447,296,0.0778865,0.00389432,0.05,0.44888,0.614178
2,37,2.75,1.86729,0.527413,-0.437447,304,0.0850499,0.0042525,0.05,0.44888,0.614178
2,38,2.75,1.86729,0.527413,-0.437447,312,0.0898025,0.00449013,0.05,0.44888,0.614178
2,39,2.75,1.86729,0.527413,-0.437447,320,0.106388,0.00531941,0.05,0.44888,0.614178
2,40,2.75,1.86729,0.527413,-0.437447,328,0.122324,0.00611618,0.05,0.44888,0.614178
2,41,2.75,1.86729,0.527413,-0.437447,336,0.125213,0.00626066,0.05,0.44888,0.614178
2,42,2.75,1.86729,0.527413,-0.437447,344,0.134316,0.00671582,0.05,0.44888,0.614178
2,43,2.75,1.86729,0.527413,-0.437447,352,0.148571,0.00742857,0.05,0.44888,0.614178
2,44,2.75,1.86729,0.527413,-0.437447,360,0.147619,0.00738095,0.05,0.44888,0.614178
3,0,2.75,1.18899,0.580204,-0.479462,8,0.233185,0.0116593,0.05,0.424314,0.568231
3,1,2.75,1.18899,0.580204,-0.479462,16,0.208704,0.0104352,0.05,0.424314,0.568231
3,2,2.75,1.18899,0.580204,-0.479462,24,0.195184,0.00975922,0.05,0.424314,0.568231
3,3,2.75,1.18899,0.580204,-0.479462,32,0.183889,0.00919444,0.05,0.424314,0.568231
3,4,2.75,1.18899,0.580204,-0.479462,40,0.172403,0.00862016,0.05,0.424314,0.568231
3,5,2.75,1.18899,0.580204,-0.479462,48,0.140117,0.00700584,0.05,0.424314,0.568231
3,6,2.75,1.18899,0.580204,-0.479462,56,0.140451,0.00702255,0.05,0.424314,0.568231
3,7,2.75,1.18899,0.580204,-0.479462,64,0.137268,0.00686341,0.05,0.424314,0.568231
3,8,2.75,1.18899,0.580204,-0.479462,72,0.120941,0.00604705,0.05,0.424314,0.568231
3,9,2.75,1.18899,0.580204,-0.479462,80,0.119157,0.00595784,0.05,0.424314,0.568231
3,10,2.75,1.18899,0.580204,-0.479462,88,0.107523,0.00537616,0.05,0.424314,0.568231
3,11,2.75,1.18899,0.580204,-0.479462,96,0.100716,0.00503581,0.05,0.424314,0.568231
3,12,2.75,1.18899,0.580204,-0.479462,104,0.107011,0.00535057,0.05,0.424314,0.568231
3,13,2.75,1.18899,0.580204,-0.479462,112,0.0980197,0.00490098,0.05,0.424314,0.568231
3,14,2.75,1.18899,0.580204,-0.479462,120,0.10137,0.00506849,0.05,0.424314,0.568231
3,15,2.75,1.18899,0.580204,-0.479462,128,0.0956229,0.00478114,0.05,0.424314,0.568231
