,phi_x,k,QQ,x_b,t,F1,F2,dvcs,F,sigmaF,F_cal,sigmaF_cal,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde,#Set
8775,8,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00175579,8.77893e-05,0.0017333919483795742,2.8835983370362127e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8776,16,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00171601,8.580069999999999e-05,0.001696408321897395,2.6520281781220936e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8777,24,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00152363,7.61813e-05,0.0016382051871205077,2.337855816849138e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8778,32,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0017033,8.51652e-05,0.001563324440863261,2.02735511705281e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8779,40,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00160444,8.02222e-05,0.0014770825674259222,1.789960165331894e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8780,48,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00137344,6.86719e-05,0.0013848733487585667,1.6301703912082067e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8781,56,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00131393,6.56966e-05,0.001291604117855741,1.4841024080480312e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8782,64,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00120839,6.04197e-05,0.0012013332075134489,1.2759890276160563e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8783,72,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00113618,5.6809e-05,0.0011171096866477886,9.67193983792278e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8784,80,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00100459,5.0229700000000005e-05,0.0010409739892558337,5.655931595975782e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8785,88,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00101986,5.09929e-05,0.0009740629869229423,1.1383300725013971e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8786,96,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000951629,4.75815e-05,0.0009167676072758464,3.275511946665873e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8787,104,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000979738,4.89869e-05,0.0008689048034264376,6.966952553858668e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8788,112,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000867669,4.33835e-05,0.0008298806003464582,9.44872121972642e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8789,120,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000742421,3.7121e-05,0.000798832964936668,1.0482867691887319e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8790,128,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00077197,3.85985e-05,0.0007747512178266858,1.0181864570209054e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8791,136,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000708528,3.54264e-05,0.0007565730926666792,9.127736073541687e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8792,144,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000734684,3.67342e-05,0.0007432623837638783,8.46280080014563e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8793,152,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000713567,3.56784e-05,0.0007338704204852014,9.278388831888775e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8794,160,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000738405,3.69203e-05,0.0007275841409999805,1.127876330514899e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8795,168,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000720402,3.6020100000000004e-05,0.0007237628119756104,1.332236567790799e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8796,176,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0007343889999999999,3.67195e-05,0.0007219647365783423,1.45475857680458e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8797,184,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000751825,3.75913e-05,0.0007219647365772106,1.454758576887655e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8798,192,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0007212439999999999,3.6062199999999995e-05,0.0007237628119720688,1.3322365680143434e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8799,200,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000693857,3.46929e-05,0.000727584140993597,1.1278763307985867e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8800,208,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0007654410000000001,3.82721e-05,0.0007338704204752765,9.278388833925978e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8801,216,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0007313860000000001,3.6569299999999996e-05,0.0007432623837494688,8.462800800118697e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8802,224,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0008396260000000001,4.1981300000000004e-05,0.0007565730926466435,9.12773607213898e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8803,232,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000831571,4.1578599999999995e-05,0.0007747512177997368,1.0181864569152535e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8804,240,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000763655,3.81828e-05,0.0007988329649014407,1.0482867692290096e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8805,248,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000776322,3.88161e-05,0.0008298806003016002,9.448721222005039e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8806,256,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000870522,4.3526099999999996e-05,0.0008689048033707227,6.966952557910879e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8807,264,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0009325760000000001,4.66288e-05,0.00091676760720831,3.2755119520025567e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8808,272,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00100349,5.01746e-05,0.00097406298684305,1.1383300666196673e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8809,280,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.000996787,4.98393e-05,0.0010409739891636847,5.655931590369746e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8810,288,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00103021,5.1510699999999995e-05,0.0011171096865443275,9.671939833292887e-06,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8811,296,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00122666,6.13331e-05,0.0012013332074006895,1.2759890272866576e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8812,304,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00136311,6.81556e-05,0.001291604117736943,1.4841024078336964e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8813,312,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00139266,6.96332e-05,0.0013848733486383142,1.6301703910294892e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8814,320,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.0013483,6.7415e-05,0.0014770825673100366,1.789960165084379e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
8815,328,16.0,8.696439999999999,0.45702600000000004,-0.458937,0.436029,0.590013,0.000327549,0.00148252,7.412590000000001e-05,0.001563324440758468,2.0273551166907986e-05,1.281715639032633,0.9996930101698668,7.528326387695959,92.45905134119312,-0.943257681582038,52.145694366490766,195
